x,bc_1,bc_10,bc_10_firstrun,bc_11,bc_11_firstrun,bc_12,bc_12_firstrun,bc_13,bc_13_firstrun,bc_14_firstrun,bc_15,bc_15_firstrun,bc_17,bc_1_firstrun,bc_20,bc_2_firstrun,bc_3,bc_3_firstrun,bc_4_firstrun,bc_5_firstrun,bc_6,bc_6_firstrun,bc_7,bc_7_firstrun,bc_8,bc_8_firstrun,bc_9_firstrun
Contaminant percentage,9.878219057183726,17.9212752030743,19.501250882719454,32.01597730344592,31.827643003260697,34.069223680692886,15.501937011350378,27.47038235672699,24.535757070304122,25.114896928928204,26.290655706880763,23.675335078638014,13.89459976423401,7.715171632749225,11.253192733131069,11.007440589072143,12.835951282867326,13.289102167352237,6.63219360333158,12.697982298403442,15.459807133621501,13.916824956762369,18.999032272504284,18.69123618338233,18.71867625657188,21.024099319354995,1.5874445137622275
Control percentage,1.5556772878054719,2.6555263554980826,3.134874634706432,2.119825262592757,2.1366096310057388,8.21638445048056,58.71293661594292,6.5129617413577865,14.045307072835039,32.863178335647156,6.43477805891552,8.442047082033488,4.452022582454589,5.36123944730286,7.439313536407975,17.334270227396434,8.03767382222165,11.616209680511357,65.72680708531472,11.87070414207836,6.423762857918244,7.2680818058422965,1.9375488902707154,19.024240123742185,4.553739798188239,8.665310851110194,92.56196313170713
No.1 Contaminant,Prkaa2.2: 338252,Baz2b.2: 554235,Baz2b.2: 195432,Prdm11.4: 845699,Prdm11.4: 392207,Rbbp7.1: 1416745,Rbbp7.1: 268674,Rbbp7.1: 1241165,Rbbp7.1: 336603,Rbbp7.1: 254941,Rbbp7.1: 1148793,Rbbp7.1: 280602,Smarce1.4: 431876,Sirt1.4: 99071,Prdm1.4: 365964,Smarce1.4: 91414,Sirt1.4: 206032,Prdm1.4: 87908,Prmt5.3: 28216,Prdm1.4: 132537,Asxl3.4: 705492,Asxl3.4: 276013,Baz2b.2: 713060,Baz2b.2: 222000,Baz2b.2: 625348,Baz2b.2: 237257,Baz2b.2: 26000
No.1 Control,Hes1.3: 18237,Bcl6: 103848,Bcl6: 37818,Klf12.4: 73954,Ccnt1.3: 13866,Ccnt1: 363088,Ccnt1: 1894124,Nfatc3.2: 175004,Ccnt1.2: 98731,Bcl6: 407659,CD4.4: 132388,Nfatc3.2: 32666,Nfatc3.2: 128225,Ccnt1.2: 49162,Bcl6: 116932,Ccnt1.2: 147239,CDK9.1: 265147,CDK9.1: 164570,CDK9.1: 289346,Bcl6: 80016,Cd14: 84163,Fosb: 35554,Id3: 59464,Ccnt1.2: 217945,Bcl6: 200096,Bcl6: 67252,Ccnt1.2: 2001808
No.1 Target,Asxl3.1: 2523955,Psip1.2: 379612,Psip1.2: 73665,Taf1.2: 495732,Setd1a.2: 461933,Tet3.2: 1204129,Tet3.2: 267935,Tet3.2: 2069603,Tet3.2: 560814,Tet3.2: 452236,Tet3.2: 2262053,Tet3.2: 702336,Asxl3.1: 815318,Asxl3.1: 1601821,Asxl2.4: 849794,Asxl2.4: 187269,Asxl2.4: 687561,Asxl2.4: 180967,Chd1.1: 27810,Asxl2.4: 238233,Prkcd.3: 670267,Prkcd.3: 446564,Psip1.2: 480257,Rbbp7.3: 85101,Psip1.2: 360538,Rbbp7.3: 94888,Psip1.2: 10715
No.2 Contaminant,Sirt1.4: 112803,Bop1.3: 249430,Bop1.3: 178470,Arid1a.2: 425892,Arid1a.2: 179489,Brdt.1: 383520,Brdt.1: 91085,Prdm11.4: 318853,Prdm2.3: 79432,Chd1.1: 116289,Prdm2.3: 249059,Prdm11.4: 32065,Sirt1.4: 209138,Prkaa2.2: 38510,Rbbp7.3: 93668,Prdm1.4: 52624,Smarce1.4: 152216,Sirt1.4: 67865,Prdm1.4: 8110,Smarce1.4: 43311,Bop1.3: 132923,Bop1.3: 55755,Bop1.3: 489133,Bop1.3: 151732,Bop1.3: 333708,Bop1.3: 131486,Bop1.3: 22002
No.2 Control,Ms4a1: 15407,CDK9.1: 35719,CDK9.1: 14713,Ccnt1.4: 18336,Klf12.4: 12221,Nfatc3.2: 97052,Ccnt1.4: 141106,Ms4a1: 127345,Ccnt1.4: 59888,Ccnt1: 141123,Nfatc3.2: 105243,CD4.4: 32492,Bcl6: 84023,Ccnt1.4: 40794,CD4.4: 84112,CDK9.3: 104707,Nfatc3.2: 100004,Nfatc3.2: 34053,Bcl6: 143525,CDK9.1: 39384,Fosb: 63817,Cd14: 34184,CDK9.1: 43870,CDK9.1: 153759,Bcl6.2: 48995,Ccnt1.2: 49115,Ccnt1.3: 1398990
No.2 Target,Jhdm1d.1: 802334,Kdm5a.2: 246158,Kdm5a.2: 72186,Smarcd1.2: 460000,Smyd5.1: 136036,Zmynd11.3: 998926,Zmynd11.3: 199002,Zmynd11.3: 1105970,Zmynd11.3: 327779,Zmynd11.3: 125547,Zmynd11.3: 818587,Zmynd11.3: 261234,Asxl2.4: 554391,Jhdm1d.1: 171722,Elp4.4: 321965,Asxl3.1: 157129,Asxl3.1: 430437,Asxl3.1: 100529,Asxl2.4: 23895,Asxl3.1: 167961,Mtf2.2: 489189,Mtf2.2: 420996,Rbbp7.3: 345971,Psip1.2: 76263,Rbbp7.3: 245134,Psip1.2: 75855,Mll3.2: 9481
No.3 Contaminant,Phf20.3: 54007,Supt16h.4: 109210,Supt16h.4: 34016,Mecp2.2: 235402,Mecp2.2: 119321,Prdm2.3: 229222,Prdm2.3: 52870,Brdt.1: 208923,Prdm11.4: 41744,Prdm2.3: 104882,Prdm11.4: 94036,Rnf2.2: 15099,Prdm1.4: 174146,Usp22.2: 24197,Trim24.1: 60301,Sirt1.4: 41710,Rbbp7.3: 142262,Rbbp7.3: 65102,Kdm1a.1: 3061,Rbbp7.3: 33973,Baz2b.2: 89939,Baz2b.2: 30509,Smarce1.4: 210459,Smarce1.4: 40549,Smarce1.4: 166651,Smarce1.4: 55470,Smarce1.4: 6325
No.3 Control,Hes1.2: 11458,CD4.4: 24506,Ccnt1: 11396,Cd14.2: 13308,Ccnt1.4: 11850,Ms4a1: 78146,Ccnt1.2: 135782,CD4.4: 122254,CDK9.1: 57666,CDK9.1: 104719,Bcl6: 58093,Ccnt1: 22068,CD4.4: 53278,CDK9.1: 30269,Nfatc3.2: 74928,Ccnt1.3: 76299,Bcl6: 70963,Ccnt1.2: 33927,Bcl6.2: 108491,Nfatc3.2: 38138,Tbx21: 58760,Klf2: 31192,Bcl6.3: 23316,Ccnt1.4: 132014,Id3: 34456,CDK9.1: 30579,Ccnt1.4: 470504
