shRNA,Q1,Q2,Q3,Q4
Bcl6 ,,,,
Bcl6.2,,,,
Bcl6.3,,,,
Bcl6.4,,,,
Bcl6.5,,,,
Bcl6.6,,,,
Ccnt1,,,,
Ccnt1.2,,,,
Ccnt1.3,,,,
Ccnt1.4,,,,
Cd14,,,,
Cd14.2,,,,
Cd19,,,,
CD19.2,,,,
Cd19.3,one is bad,,,
Cd19.4,,,,
CD4.1,,,,
CD4.2,,,,
CD4.3,,,,
CD4.4,,,,
CDK9.1,,,,
CDK9.2,,,,
CDK9.3,,,,
Fosb,,,,
Fosb.2,,,,
Hes1,,,,
Hes1.2,,,,
Hes1.3,,,,
Id2,,,,
Id2.2,,,,
Id2.3,,,,
Id2.4,,,,
Id2.5,,,,
Id3,,,,
Id3.2,,,,
Id3.3,,,,
Id3.4,,,,
Id3.5,,,,
Klf12,,,,
Klf12.4,,,,
Klf12.5,,,,
Klf2,,,,
Klf2.2,,,,
Klf2.3,,,,
Klf2.4,,,,
Klf2.5,,,,
Klf2.6,,,,
Klf2.7,,,,
Ms4a1,,,,
Ms4a1.2,,,,
Nfatc3.2,,,,
Nfatc3.3,,,,
Nfatc3.7,,,,
Nfatc3.8,,,,
Runx3,,,,
Runx3.2,,,,
Runx3.3,,,,
Tbx21,,,,
Tbx21.3,,,,
Tbx21.4,,,,
Prdm1.1,,,,
Prdm1.2,,,,
Prdm1.3,,,,
Prdm1.4,,,,
