gene_name,PageRank0h,PageRank16h,Ratio
IL2RA,1.30E-05,2.95E-05,2.27
CRABP1,1.68E-05,3.53E-05,2.10
IL2,1.21E-05,2.32E-05,1.91
SLC29A2,9.40E-06,1.72E-05,1.83
CD69,2.36E-05,4.23E-05,1.79
CRABP2,3.27E-05,5.76E-05,1.76
AK6,1.75E-05,2.84E-05,1.62
GBP5,2.21E-05,3.54E-05,1.60
IIGP1,2.31E-05,3.70E-05,1.60
SLC6A6,1.63E-05,2.59E-05,1.59
IDI1,2.57E-05,4.07E-05,1.58
DESI2,1.00E-05,1.52E-05,1.52
ODC1,2.54E-05,3.84E-05,1.51
CYP51A1,3.54E-05,5.35E-05,1.51
ST6GALNAC4,1.83E-05,2.72E-05,1.48
SLC19A1,9.10E-06,1.34E-05,1.48
PROS1,2.07E-05,3.04E-05,1.47
CD200,1.61E-05,2.35E-05,1.46
CD40LG,2.90E-05,4.13E-05,1.42
ACBD6,1.66E-05,2.36E-05,1.42
POU2F2,3.50E-05,4.89E-05,1.40
IRF4,6.65E-05,9.27E-05,1.39
RILPL2,1.89E-05,2.64E-05,1.39
SWI5,1.92E-05,2.66E-05,1.39
LAD1,2.62E-05,3.61E-05,1.38
FAM195A,2.32E-05,3.17E-05,1.37
TIMM17A,3.28E-05,4.46E-05,1.36
FAM134B,2.01E-05,2.73E-05,1.36
TBX21,3.12E-05,4.20E-05,1.35
IL2RG,6.15E-05,8.22E-05,1.34
TNFSF8,6.96E-05,9.28E-05,1.33
HMGCS1,6.83E-05,9.07E-05,1.33
RBM46,1.55E-05,2.06E-05,1.33
ALCAM,4.03E-05,5.34E-05,1.32
CDCA7,2.73E-05,3.60E-05,1.32
SRFBP1,3.19E-05,4.21E-05,1.32
PLAGL2,2.44E-05,3.19E-05,1.31
DNAJC15,3.00E-05,3.91E-05,1.31
TSTD2,2.18E-05,2.83E-05,1.30
TNFSF11,6.18E-05,8.01E-05,1.30
ETNK1,3.49E-05,4.48E-05,1.29
SLC29A1,3.21E-05,4.12E-05,1.28
KDELC1,2.01E-05,2.58E-05,1.28
UTP11L,3.21E-05,4.09E-05,1.28
ZC3H12D,1.68E-05,2.14E-05,1.27
RSL24D1,5.24E-05,6.66E-05,1.27
SLC25A33,9.56E-06,1.21E-05,1.27
COX19,1.95E-05,2.48E-05,1.27
FPGS,2.54E-05,3.20E-05,1.26
SLC5A6,2.03E-05,2.56E-05,1.26
ABHD2,1.43E-05,1.79E-05,1.26
APOPT1,2.06E-05,2.58E-05,1.25
UBIAD1,1.98E-05,2.47E-05,1.25
SLC38A1,2.60E-05,3.24E-05,1.25
PISD,3.03E-05,3.76E-05,1.24
SHQ1,4.31E-05,5.35E-05,1.24
GRAMD1B,6.07E-05,7.53E-05,1.24
D2WSU81E,1.65E-05,2.04E-05,1.24
TNFRSF4,2.17E-05,2.68E-05,1.24
NR4A3,2.46E-05,3.03E-05,1.23
ISG20L2,2.42E-05,2.98E-05,1.23
DDX49,4.26E-05,5.24E-05,1.23
ZCCHC2,1.71E-05,2.09E-05,1.23
B4GALT5,2.24E-05,2.75E-05,1.23
COL4A3,2.11E-05,2.59E-05,1.23
TMEM164,2.00E-05,2.45E-05,1.23
ZFP277,1.45E-05,1.77E-05,1.22
FOSL1,5.23E-05,6.36E-05,1.22
ABT1,4.62E-05,5.60E-05,1.21
KIAA0922,1.62E-05,1.96E-05,1.21
ZNF330,1.96E-05,2.37E-05,1.21
KLHDC4,4.40E-05,5.32E-05,1.21
LARP4,6.78E-05,8.20E-05,1.21
RRP36,1.17E-05,1.41E-05,1.21
DHDDS,1.59E-05,1.92E-05,1.21
SQLE,2.76E-05,3.33E-05,1.21
LTA,1.75E-05,2.11E-05,1.21
SFR1,6.16E-05,7.42E-05,1.20
IRF8,7.08E-05,8.52E-05,1.20
NUDT4,1.70E-05,2.04E-05,1.20
PAIP2B,2.60E-05,3.13E-05,1.20
PPRC1,2.79E-05,3.35E-05,1.20
CLPTM1,4.48E-05,5.39E-05,1.20
CCDC86,5.61E-05,6.75E-05,1.20
METTL5,1.14E-05,1.37E-05,1.20
RGS1,2.45E-05,2.94E-05,1.20
SLAMF7,4.51E-05,5.41E-05,1.20
SLC23A2,1.69E-05,2.03E-05,1.20
DNAJC21,2.68E-05,3.22E-05,1.20
TFRC,0.000152104,0.000182159,1.20
KCNA2,4.13E-05,4.94E-05,1.20
BST2,4.96E-05,5.94E-05,1.20
SPRY1,4.58E-05,5.48E-05,1.20
NFKBID,2.30E-05,2.75E-05,1.20
IL12RB1,4.39E-05,5.23E-05,1.19
KCNA3,4.15E-05,4.94E-05,1.19
UTP3,5.69E-05,6.77E-05,1.19
AACS,3.98E-05,4.73E-05,1.19
ANKRD13C,1.40E-05,1.67E-05,1.19
ORAI1,1.11E-05,1.32E-05,1.19
ITM2A,4.32E-05,5.12E-05,1.19
CCDC50,3.53E-05,4.18E-05,1.19
ATP5G1,2.11E-05,2.49E-05,1.19
CMTR2,2.71E-05,3.21E-05,1.18
TWSG1,1.40E-05,1.65E-05,1.18
FTL1,1.78E-05,2.10E-05,1.18
SLC39A6,2.14E-05,2.52E-05,1.18
SLC25A37,1.45E-05,1.71E-05,1.18
NT5DC3,2.43E-05,2.87E-05,1.18
ELOVL1,2.99E-05,3.53E-05,1.18
PRELID1,3.13E-05,3.68E-05,1.18
ENPEP,1.74E-05,2.05E-05,1.18
GFI1,3.63E-05,4.26E-05,1.17
CD6,4.00E-05,4.70E-05,1.17
SMYD5,3.13E-05,3.67E-05,1.17
RRP1,6.06E-05,7.11E-05,1.17
USP40,2.32E-05,2.72E-05,1.17
SLC25A28,7.93E-06,9.28E-06,1.17
GBP2,0.000159324,0.000186415,1.17
MAFG,4.58E-05,5.35E-05,1.17
FAM185A,9.40E-06,1.10E-05,1.17
HIST1H1B,0.00014967,0.000174649,1.17
FAR1,4.81E-05,5.61E-05,1.17
SNX19,1.90E-05,2.22E-05,1.17
NOL7,5.26E-05,6.13E-05,1.17
BEND3,3.97E-05,4.63E-05,1.16
WDR75,6.67E-05,7.75E-05,1.16
HIST1H1C,0.000293453,0.000341073,1.16
MEA1,3.64E-05,4.23E-05,1.16
DCTD,3.27E-05,3.80E-05,1.16
BTLA,2.68E-05,3.11E-05,1.16
SPIN4,1.65E-05,1.91E-05,1.16
RPL36A,9.80E-05,0.000113584,1.16
COX10,1.15E-05,1.33E-05,1.16
RPL39,7.44E-05,8.61E-05,1.16
MIDN,1.93E-05,2.23E-05,1.16
SLC7A5,5.92E-05,6.85E-05,1.16
DUS4L,1.11E-05,1.29E-05,1.16
RWDD4,3.73E-05,4.30E-05,1.15
CCR7,1.95E-05,2.25E-05,1.15
MRPS12,3.30E-05,3.81E-05,1.15
GRPEL2,4.31E-05,4.98E-05,1.15
REXO4,7.43E-05,8.56E-05,1.15
TTC39B,3.34E-05,3.85E-05,1.15
ALPL,3.90E-05,4.48E-05,1.15
NCAN,3.41E-05,3.92E-05,1.15
CD3EAP,5.83E-05,6.70E-05,1.15
TSR3,4.57E-05,5.25E-05,1.15
SLMO2,2.38E-05,2.74E-05,1.15
TNFSF9,3.64E-05,4.17E-05,1.15
EOMES,1.50E-05,1.72E-05,1.15
POU2AF1,3.40E-05,3.90E-05,1.15
NSA2,0.000140188,0.000160664,1.15
POLE4,4.89E-05,5.60E-05,1.15
ZCCHC9,6.06E-05,6.94E-05,1.15
MSMO1,3.73E-05,4.27E-05,1.14
SEMA7A,6.64E-05,7.59E-05,1.14
FBLL1,2.75E-05,3.14E-05,1.14
NUDT1,3.39E-05,3.88E-05,1.14
ZFP106,2.06E-05,2.35E-05,1.14
AEN,6.28E-05,7.18E-05,1.14
GGNBP2,1.97E-05,2.25E-05,1.14
RSL1D1,0.000152115,0.000173679,1.14
TMEM97,2.55E-05,2.91E-05,1.14
NOP16,7.77E-05,8.87E-05,1.14
TPST1,2.58E-05,2.95E-05,1.14
FLVCR1,4.59E-05,5.23E-05,1.14
RRN3,5.84E-05,6.65E-05,1.14
ZNHIT6,8.80E-05,0.00010025,1.14
LSS,3.75E-05,4.27E-05,1.14
TTC27,9.36E-05,0.00010649,1.14
ESF1,7.77E-05,8.84E-05,1.14
DUSP5,4.24E-05,4.82E-05,1.14
ZFP36L1,5.17E-05,5.88E-05,1.14
KLHL28,2.78E-05,3.16E-05,1.14
DOHH,4.29E-05,4.87E-05,1.14
EIF2S3X,3.47E-05,3.93E-05,1.14
MRPL54,5.06E-05,5.74E-05,1.13
TMEM57,2.39E-05,2.71E-05,1.13
SLC16A10,2.99E-05,3.39E-05,1.13
CRELD2,2.49E-05,2.82E-05,1.13
CKS1B,8.42E-05,9.54E-05,1.13
RPL37,6.92E-05,7.84E-05,1.13
RNF187,3.05E-05,3.45E-05,1.13
NUDT10,1.89E-05,2.14E-05,1.13
AKAP1,6.37E-05,7.21E-05,1.13
SLC12A2,5.20E-05,5.88E-05,1.13
AEBP2,5.27E-05,5.95E-05,1.13
RPL34,0.000210446,0.000237693,1.13
MPP7,2.72E-05,3.07E-05,1.13
CLUH,0.000115796,0.000130739,1.13
MAFK,5.23E-05,5.90E-05,1.13
SRGN,3.66E-05,4.13E-05,1.13
NCLN,5.49E-05,6.19E-05,1.13
RPL3L,0.000102387,0.000115528,1.13
TMEM199,4.55E-05,5.14E-05,1.13
UBAP2,8.55E-05,9.65E-05,1.13
AAMP,8.94E-05,0.000100839,1.13
GM5422,3.31E-05,3.73E-05,1.13
KCNN4,2.20E-05,2.48E-05,1.13
PDCD11,9.49E-05,0.000106856,1.13
UTP20,8.02E-05,9.04E-05,1.13
COLGALT1,5.85E-05,6.59E-05,1.13
HIST1H1E,0.000276612,0.000311492,1.13
SAYSD1,1.81E-05,2.04E-05,1.13
SPATA5,6.09E-05,6.86E-05,1.13
VCPKMT,4.84E-05,5.45E-05,1.13
NOC3L,0.00011325,0.00012741,1.13
NOB1,8.87E-05,9.98E-05,1.12
LRP10,2.31E-05,2.60E-05,1.12
ZNF22,6.95E-05,7.82E-05,1.12
TPT1,8.81E-05,9.90E-05,1.12
UCK2,7.70E-05,8.65E-05,1.12
YRDC,4.28E-05,4.81E-05,1.12
MAFF,6.03E-05,6.77E-05,1.12
RWDD1,3.20E-05,3.60E-05,1.12
PHACTR2,3.16E-05,3.54E-05,1.12
SDAD1,8.54E-05,9.59E-05,1.12
SRM,7.93E-05,8.90E-05,1.12
BACH2,4.62E-05,5.19E-05,1.12
RPS29,0.000152154,0.000170678,1.12
LSG1,4.68E-05,5.25E-05,1.12
CNNM2,2.31E-05,2.59E-05,1.12
ZFP53,1.79E-05,2.00E-05,1.12
FAM222B,1.18E-05,1.32E-05,1.12
ZC3H8,3.79E-05,4.24E-05,1.12
TMEM234,1.38E-05,1.54E-05,1.12
ZDHHC15,1.85E-05,2.07E-05,1.12
ZMYND19,6.82E-05,7.63E-05,1.12
TIMM10B,2.51E-05,2.81E-05,1.12
NOL10,8.88E-05,9.94E-05,1.12
ATF3,0.000115139,0.000128804,1.12
RAB11FIP3,4.64E-05,5.19E-05,1.12
KIAA0020,0.000247395,0.000276495,1.12
EMC10,3.98E-05,4.45E-05,1.12
JADE3,3.48E-05,3.89E-05,1.12
PLA2G6,1.62E-05,1.81E-05,1.12
AHSA2,2.32E-05,2.59E-05,1.12
ATG16L2,1.66E-05,1.85E-05,1.12
ATP9B,1.63E-05,1.82E-05,1.12
TMEM41B,2.00E-05,2.23E-05,1.12
BMS1,5.86E-05,6.54E-05,1.12
RGP1,1.39E-05,1.55E-05,1.12
SLC16A1,0.000104502,0.000116569,1.12
PROSER1,2.15E-05,2.40E-05,1.12
SEC14L1,1.93E-05,2.15E-05,1.11
CCRN4L,5.07E-05,5.65E-05,1.11
GFM1,5.24E-05,5.84E-05,1.11
NEIL3,6.15E-05,6.85E-05,1.11
ENTPD6,3.63E-05,4.04E-05,1.11
ZNF593,7.93E-05,8.83E-05,1.11
RRP12,0.000157622,0.000175429,1.11
TBR1,2.56E-05,2.85E-05,1.11
LTV1,9.63E-05,0.00010719,1.11
WDR43,7.32E-05,8.15E-05,1.11
ALKBH7,2.02E-05,2.25E-05,1.11
FAM210A,4.13E-05,4.59E-05,1.11
UTP18,7.51E-05,8.35E-05,1.11
DHX33,5.48E-05,6.09E-05,1.11
FAM193A,1.53E-05,1.70E-05,1.11
HIST1H2AL,0.000323651,0.000359714,1.11
GNL2,0.000149218,0.000165834,1.11
MRPL34,6.85E-05,7.61E-05,1.11
PDCD1,0.000111543,0.000123919,1.11
UTP6,6.43E-05,7.14E-05,1.11
MRPS33,6.45E-05,7.17E-05,1.11
LYAR,0.000163547,0.000181633,1.11
GPATCH4,0.000197743,0.000219603,1.11
NCS1,5.81E-05,6.45E-05,1.11
SLC35F2,2.95E-05,3.28E-05,1.11
TTC13,1.73E-05,1.92E-05,1.11
HIST3H2A,0.000333183,0.000369837,1.11
HEATR3,7.59E-05,8.42E-05,1.11
SERF2,5.00E-05,5.55E-05,1.11
CDC123,3.62E-05,4.01E-05,1.11
SNX16,1.94E-05,2.15E-05,1.11
PDCD2,3.51E-05,3.89E-05,1.11
NAA25,6.51E-05,7.21E-05,1.11
PWP2,9.74E-05,0.00010793,1.11
TOB2,3.89E-05,4.31E-05,1.11
MPHOSPH10,0.000121635,0.000134757,1.11
DNAJC16,2.60E-05,2.88E-05,1.11
WDR3,8.88E-05,9.83E-05,1.11
PINX1,8.60E-05,9.52E-05,1.11
RPL26,0.000245211,0.000271428,1.11
SLC7A6OS,6.85E-05,7.57E-05,1.11
SNAPC2,2.17E-05,2.40E-05,1.11
TXNRD1,0.00010101,0.000111643,1.11
MALSU1,7.70E-05,8.51E-05,1.11
KTI12,3.08E-05,3.40E-05,1.10
DHCR24,6.67E-05,7.36E-05,1.10
RRP15,9.38E-05,0.000103478,1.10
MAK16,0.000143801,0.000158703,1.10
JMJD8,2.76E-05,3.05E-05,1.10
SEMA4B,2.87E-05,3.16E-05,1.10
SURF1,9.07E-05,0.000100083,1.10
PPAN,0.00017516,0.000193183,1.10
