gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
UBE2E1,UBE2I,pp,13,3.605551275463989
AFF1,HDAC1,pp,8,2.8284271247461903
EZH2,SMYD3,pp,105,10.246950765959598
KDM5B,KMT2A,pp,23,4.795831523312719
MBD1,RNF2,pp,9,3.0
SIN3B,SMARCA4,pp,15,3.872983346207417
BRD9,WDR5,pp,9,3.0
MECP2,SUV39H1,pp,21,4.58257569495584
MECP2,PRMT6,pp,21,4.58257569495584
PAXIP1,WDR5,pp,16,4.0
MTA1,SUZ12,pp,30,5.477225575051661
EP300,KAT6A,pp,58,7.615773105863909
HDAC9,SIN3B,pp,11,3.3166247903554
ARID1A,SMARCD1,pp,26,5.0990195135927845
CBX4,KDM2B,pp,26,5.0990195135927845
PHC3,SCMH1,pp,14,3.7416573867739413
CHAF1A,MBD1,pp,29,5.385164807134504
EED,MTA1,pp,87,9.327379053088816
EZH2,SMARCC1,pp,105,10.246950765959598
PCGF2,PHC1,pp,15,3.872983346207417
BAZ1B,SMARCA5,pp,15,3.872983346207417
PRMT5,SIN3A,pp,37,6.082762530298219
EZH2,PHF1,pp,105,10.246950765959598
CBX8,SETD2,pp,26,5.0990195135927845
PHC1,SFMBT2,pp,20,4.47213595499958
CHD7,SMARCC2,pp,18,4.242640687119285
CBX7,PHC3,pp,14,3.7416573867739413
DPY30,WDR5,pp,16,4.0
CBX3,WDR5,pp,38,6.164414002968976
HDAC2,TET1,pp,78,8.831760866327848
BAZ1B,SMARCC2,pp,15,3.872983346207417
L3MBTL1,SETD7,pp,9,3.0
MTA1,MTA2,pp,30,5.477225575051661
MECP2,SMARCB1,pp,21,4.58257569495584
BRDT,SMARCE1,pp,2,1.4142135623730951
CBX2,KDM3A,pp,13,3.605551275463989
CBX6,ELP4,pp,16,4.0
BRD3,BRD4,pp,6,2.449489742783178
H2AFZ,UBE2E1,pp,12,3.4641016151377544
KDM6B,SMARCC1,pp,16,4.0
KMT2E,SIN3A,pp,6,2.449489742783178
EPC1,KAT7,pp,16,4.0
MBD3,SMARCA5,pp,29,5.385164807134504
EED,PCGF2,pp,87,9.327379053088816
TRIM33,UBE2E1,pp,10,3.1622776601683795
EED,SMARCA1,pp,87,9.327379053088816
BRD7,EZH2,pp,16,4.0
RNF2,UBE2E1,pp,74,8.602325267042627
KDM1A,POLR2B,pp,49,7.0
CXXC1,WDR5,pp,16,4.0
BAZ1A,MECP2,pp,13,3.605551275463989
BRCA1,WDR5,pp,56,7.483314773547883
HDAC1,MECP2,pp,91,9.539392014169456
NAP1L1,SSRP1,pp,9,3.0
HDAC11,POLR2B,pp,6,2.449489742783178
BMI1,PCGF2,pp,57,7.54983443527075
GADD45A,ING4,pp,6,2.449489742783178
PBRM1,SMARCC1,pp,24,4.898979485566356
PRDM10,PRDM5,pp,1,1.0
KDM2B,RNF2,pp,15,3.872983346207417
PAF1,SSRP1,pp,21,4.58257569495584
RBBP5,SMARCC1,pp,29,5.385164807134504
EP400,HCFC1,pp,23,4.795831523312719
CHD3,MTA1,pp,51,7.14142842854285
RPA3,SMARCC2,pp,14,3.7416573867739413
SIRT3,SIRT5,pp,2,1.4142135623730951
CBX4,PCGF2,pp,26,5.0990195135927845
HCFC1,RBBP5,pp,32,5.656854249492381
KMT2D,PAXIP1,pp,15,3.872983346207417
MTA2,PHF20L1,pp,29,5.385164807134504
PRMT2,SETD1A,pp,5,2.23606797749979
EP300,NCOA1,pp,58,7.615773105863909
EP300,MECP2,pp,58,7.615773105863909
KMT2B,WDR5,pp,6,2.449489742783178
CREBBP,KMT2A,pp,38,6.164414002968976
KDM3B,SMYD3,pp,3,1.7320508075688772
KDM5C,RING1,pp,13,3.605551275463989
DPY30,SETD7,pp,16,4.0
MORF4L1,SIN3A,pp,24,4.898979485566356
CREBBP,SETD1A,pp,38,6.164414002968976
PHC1,PHC3,pp,20,4.47213595499958
CBX3,KDM2B,pp,38,6.164414002968976
KMT2A,WDR82,pp,40,6.324555320336759
MEN1,RNF20,pp,19,4.358898943540674
CBX8,PCGF2,pp,26,5.0990195135927845
HDAC2,MBD2,pp,78,8.831760866327848
PCGF6,WDR5,pp,18,4.242640687119285
KDM1A,SFMBT1,pp,49,7.0
KAT2B,WDR5,pp,17,4.123105625617661
EZH2,SMARCC2,pp,105,10.246950765959598
HDAC6,SMARCC1,pp,13,3.605551275463989
NCOA1,NCOR1,pp,16,4.0
HCFC1,KMT2E,pp,32,5.656854249492381
CBX6,PCGF6,pp,16,4.0
MBD1,PRMT5,pp,9,3.0
EAF1,GTF2F1,pp,4,2.0
CHD3,SMARCA1,pp,51,7.14142842854285
BRPF1,KAT6A,pp,6,2.449489742783178
MEN1,SIN3A,pp,19,4.358898943540674
BAZ2A,SMARCA5,pp,8,2.8284271247461903
CHD3,SMARCC1,pp,51,7.14142842854285
CBX7,PCGF2,pp,14,3.7416573867739413
RBBP4,SIN3B,pp,59,7.681145747868608
BRD4,KAT8,pp,27,5.196152422706632
HDAC9,NCOR1,pp,11,3.3166247903554
EZH2,HCFC1,pp,105,10.246950765959598
DPY30,SETD1A,pp,16,4.0
HDAC4,HDAC9,pp,17,4.123105625617661
HDAC1,MTA1,pp,91,9.539392014169456
ARID1A,SMARCA2,pp,26,5.0990195135927845
GTF2F1,GTF2H1,pp,10,3.1622776601683795
SIN3A,TET1,pp,47,6.855654600401044
CHD4,SIN3A,pp,60,7.745966692414834
HCFC1,SMARCB1,pp,32,5.656854249492381
EZH2,SMARCA5,pp,105,10.246950765959598
EP300,WDR5,pp,58,7.615773105863909
SIN3A,TET2,pp,47,6.855654600401044
ARID1A,SMARCC2,pp,26,5.0990195135927845
KDM6B,PRMT5,pp,16,4.0
SMARCA4,SMARCC1,pp,60,7.745966692414834
PCGF2,PHC3,pp,15,3.872983346207417
KDM5C,ZMYND8,pp,13,3.605551275463989
SMARCD2,SMARCE1,pp,20,4.47213595499958
EPC2,KAT7,pp,9,3.0
PRKAA1,PRKAA2,pp,11,3.3166247903554
HDAC2,SIN3A,pp,78,8.831760866327848
KDM1A,KDM2B,pp,49,7.0
HDAC5,PRMT1,pp,25,5.0
KAT2A,WDR5,pp,9,3.0
HCFC1,RBBP4,pp,32,5.656854249492381
KMT2D,SUZ12,pp,15,3.872983346207417
BMI1,KDM2B,pp,57,7.54983443527075
ASH2L,PRMT1,pp,27,5.196152422706632
L3MBTL2,RING1,pp,27,5.196152422706632
EP300,MTA1,pp,58,7.615773105863909
PHC2,RING1,pp,23,4.795831523312719
SETD1A,WDR5,pp,15,3.872983346207417
PCGF5,RING1,pp,11,3.3166247903554
EHMT2,MTA1,pp,35,5.916079783099616
HDAC2,KMT2A,pp,78,8.831760866327848
MBD1,SETDB1,pp,9,3.0
SIN3A,TAF1,pp,47,6.855654600401044
EED,SMYD3,pp,87,9.327379053088816
SMARCC2,SMARCE1,pp,41,6.4031242374328485
KMT2A,RBBP7,pp,40,6.324555320336759
EZH2,SETD1A,pp,105,10.246950765959598
AFF4,EAF1,pp,3,1.7320508075688772
RBBP7,SMARCA5,pp,53,7.280109889280518
KDM1A,SMARCC1,pp,49,7.0
BMI1,MBD2,pp,57,7.54983443527075
HDAC4,SIN3A,pp,17,4.123105625617661
EZH2,SIN3A,pp,105,10.246950765959598
SIN3A,SIN3B,pp,47,6.855654600401044
ARID1A,EZH2,pp,26,5.0990195135927845
CREBBP,NCOA1,pp,38,6.164414002968976
PHF20,WDR5,pp,4,2.0
BRD4,KDM6B,pp,27,5.196152422706632
ERCC5,GTF2H1,pp,2,1.4142135623730951
RNF2,WDR5,pp,74,8.602325267042627
EZH2,SMARCD2,pp,105,10.246950765959598
BRD1,KAT7,pp,8,2.8284271247461903
CHD1L,SSRP1,pp,10,3.1622776601683795
SIN3A,SMARCB1,pp,47,6.855654600401044
CBX3,MECP2,pp,38,6.164414002968976
HCFC1,TRIM28,pp,32,5.656854249492381
MBD2,MTA3,pp,22,4.69041575982343
HDAC2,MEN1,pp,78,8.831760866327848
MBD3,RBBP4,pp,29,5.385164807134504
CHD4,SSRP1,pp,60,7.745966692414834
CHD4,MBD2,pp,60,7.745966692414834
CBX4,MBD1,pp,26,5.0990195135927845
BRD7,SMARCD1,pp,16,4.0
EP300,PRKAA1,pp,58,7.615773105863909
BRD9,SMARCC2,pp,9,3.0
CXXC1,SETD1A,pp,16,4.0
ARID2,SMARCE1,pp,10,3.1622776601683795
ING5,SMARCE1,pp,10,3.1622776601683795
MTA1,RBBP7,pp,30,5.477225575051661
KMT2A,MBD3,pp,40,6.324555320336759
PADI1,PADI3,pp,1,1.0
ARID1B,SMARCC2,pp,20,4.47213595499958
