gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
UBE2E1,UBE2I,pp,13,3.605551275463989
ACTB,CARM1,pp,18,4.242640687119285
CHD4,L3MBTL2,pp,60,7.745966692414834
KDM5B,KMT2A,pp,23,4.795831523312719
DNMT3B,MBD4,pp,33,5.744562646538029
CBX3,CHAF1B,pp,38,6.164414002968976
NCOA3,SETDB1,pp,16,4.0
L3MBTL2,RBBP7,pp,27,5.196152422706632
HDAC1,HELLS,pp,91,9.539392014169456
BRCA1,CBX5,pp,56,7.483314773547883
CLOCK,KAT2B,pp,8,2.8284271247461903
BRD9,WDR5,pp,9,3.0
MECP2,SUV39H1,pp,21,4.58257569495584
CHAF1B,SETDB1,pp,10,3.1622776601683795
MECP2,PRMT6,pp,21,4.58257569495584
PAXIP1,WDR5,pp,16,4.0
GTF2B,NAP1L1,pp,8,2.8284271247461903
EP300,KAT6A,pp,58,7.615773105863909
L3MBTL2,PHF10,pp,27,5.196152422706632
CHAF1A,MBD1,pp,29,5.385164807134504
EPC2,MORF4L1,pp,9,3.0
EPC1,RNF2,pp,16,4.0
ACTB,EPC1,pp,18,4.242640687119285
CARM1,EED,pp,24,4.898979485566356
CBX3,CHD1L,pp,38,6.164414002968976
BAZ1B,SMARCA5,pp,15,3.872983346207417
BRCA1,PARP1,pp,56,7.483314773547883
CHD1,PAF1,pp,8,2.8284271247461903
PRMT5,SIN3A,pp,37,6.082762530298219
EZH2,PHF1,pp,105,10.246950765959598
CHD7,SMARCC2,pp,18,4.242640687119285
CBX7,PHC3,pp,14,3.7416573867739413
DPY30,WDR5,pp,16,4.0
CHAF1A,SMARCD1,pp,29,5.385164807134504
CBX7,SUV39H2,pp,14,3.7416573867739413
CBX3,WDR5,pp,38,6.164414002968976
KAT2A,TAF3,pp,9,3.0
HDAC2,TET1,pp,78,8.831760866327848
BAZ1B,SMARCC2,pp,15,3.872983346207417
BRCA1,NCOA3,pp,56,7.483314773547883
MECP2,SMARCB1,pp,21,4.58257569495584
PAF1,SMARCD3,pp,21,4.58257569495584
CBX2,DNMT3B,pp,13,3.605551275463989
CBX2,KDM3A,pp,13,3.605551275463989
CBX6,ELP4,pp,16,4.0
BAZ1B,SMARCA4,pp,15,3.872983346207417
H2AFZ,UBE2E1,pp,12,3.4641016151377544
CHD3,PARP1,pp,51,7.14142842854285
KMT2E,SIN3A,pp,6,2.449489742783178
EPC1,KAT7,pp,16,4.0
MBD3,SMARCA5,pp,29,5.385164807134504
KDM4C,SMARCA4,pp,10,3.1622776601683795
HELLS,L3MBTL2,pp,10,3.1622776601683795
EP400,KDM1A,pp,23,4.795831523312719
ATRX,SETDB1,pp,11,3.3166247903554
TRIM33,UBE2E1,pp,10,3.1622776601683795
RNF2,UBE2E1,pp,74,8.602325267042627
KDM1A,POLR2B,pp,49,7.0
CHD4,PAF1,pp,60,7.745966692414834
CXXC1,WDR5,pp,16,4.0
SUPT16,UHRF1,pp,2,1.4142135623730951
BAZ1A,MECP2,pp,13,3.605551275463989
BRCA1,WDR5,pp,56,7.483314773547883
HDAC1,MECP2,pp,91,9.539392014169456
NAP1L1,SSRP1,pp,9,3.0
SUV39H1,UHRF1,pp,29,5.385164807134504
HDAC11,POLR2B,pp,6,2.449489742783178
PRDM10,PRDM5,pp,1,1.0
AURKB,PARP1,pp,12,3.4641016151377544
PAF1,SSRP1,pp,21,4.58257569495584
BRWD1,SMARCA4,pp,1,1.0
ING2,PRMT5,pp,14,3.7416573867739413
BAZ1B,EED,pp,15,3.872983346207417
ACTL6A,EPC1,pp,33,5.744562646538029
RPA3,SMARCC2,pp,14,3.7416573867739413
BMI1,PARP1,pp,57,7.54983443527075
KAT2A,PPARGC1A,pp,9,3.0
KMT2D,PAXIP1,pp,15,3.872983346207417
BAZ1A,BAZ1B,pp,13,3.605551275463989
EP300,MECP2,pp,58,7.615773105863909
KMT2B,WDR5,pp,6,2.449489742783178
CREBBP,KMT2A,pp,38,6.164414002968976
MORF4L1,SIN3A,pp,24,4.898979485566356
CLOCK,SIRT1,pp,8,2.8284271247461903
KAT2A,SIRT1,pp,9,3.0
KMT2A,WDR82,pp,40,6.324555320336759
HDAC2,SUV39H1,pp,78,8.831760866327848
NAP1L2,NAP1L3,pp,4,2.0
KDM1A,SMARCD1,pp,49,7.0
CHD3,SIRT6,pp,51,7.14142842854285
CHAF1A,EZH2,pp,29,5.385164807134504
EHMT2,SIRT6,pp,35,5.916079783099616
PCGF6,WDR5,pp,18,4.242640687119285
KDM1A,SFMBT1,pp,49,7.0
CHAF1B,SUZ12,pp,10,3.1622776601683795
KAT2B,WDR5,pp,17,4.123105625617661
EZH2,SMARCC2,pp,105,10.246950765959598
DNMT3B,HDAC1,pp,33,5.744562646538029
HDAC3,L3MBTL2,pp,31,5.5677643628300215
DMAP1,EPC1,pp,18,4.242640687119285
KAT8,PAF1,pp,14,3.7416573867739413
KAT2A,USP22,pp,9,3.0
CBX6,PCGF6,pp,16,4.0
CBX1,SUV39H1,pp,28,5.291502622129181
HDAC1,SUV39H1,pp,91,9.539392014169456
CBX7,PCGF5,pp,14,3.7416573867739413
MBD1,PRMT5,pp,9,3.0
PPARGC1A,UBE2I,pp,9,3.0
KDM1A,MBD4,pp,49,7.0
BRPF1,KAT6A,pp,6,2.449489742783178
MEN1,SIN3A,pp,19,4.358898943540674
CBX5,UBE2B,pp,39,6.244997998398398
BAZ2A,SMARCA5,pp,8,2.8284271247461903
CBX7,PCGF2,pp,14,3.7416573867739413
CHAF1A,SMARCA4,pp,29,5.385164807134504
BRD4,KAT8,pp,27,5.196152422706632
CHD4,RBBP4,pp,60,7.745966692414834
BMI1,CHD4,pp,57,7.54983443527075
CHD3,CHD4,pp,51,7.14142842854285
DNMT3B,RBBP7,pp,33,5.744562646538029
RNF20,SIRT6,pp,9,3.0
NCOA3,SIRT1,pp,16,4.0
CHD1L,TRIM33,pp,10,3.1622776601683795
PRDM1,PRMT5,pp,6,2.449489742783178
EZH2,SUV39H1,pp,105,10.246950765959598
SIN3A,TET1,pp,47,6.855654600401044
HDAC3,KDM1A,pp,31,5.5677643628300215
CHD4,SIN3A,pp,60,7.745966692414834
EZH2,SMARCA5,pp,105,10.246950765959598
EP300,WDR5,pp,58,7.615773105863909
PHF8,PRMT5,pp,6,2.449489742783178
SIN3A,TET2,pp,47,6.855654600401044
HIRA,UBE2I,pp,8,2.8284271247461903
ARID1A,SMARCC2,pp,26,5.0990195135927845
KDM6B,PRMT5,pp,16,4.0
EPC2,KAT7,pp,9,3.0
PRKAA1,PRKAA2,pp,11,3.3166247903554
ASH1L,MORF4L1,pp,1,1.0
ELP3,EPC1,pp,12,3.4641016151377544
CBX7,EED,pp,14,3.7416573867739413
HDAC2,SIN3A,pp,78,8.831760866327848
KDM1A,KDM2B,pp,49,7.0
KAT2A,WDR5,pp,9,3.0
HDAC2,KDM1A,pp,78,8.831760866327848
CBX7,PCGF6,pp,14,3.7416573867739413
DNMT3B,DNMT3L,pp,33,5.744562646538029
KDM1A,SIRT7,pp,49,7.0
KMT2D,SUZ12,pp,15,3.872983346207417
EP300,PPARGC1A,pp,58,7.615773105863909
L3MBTL2,RING1,pp,27,5.196152422706632
ARID2,SMARCA4,pp,10,3.1622776601683795
SETD1A,WDR5,pp,15,3.872983346207417
KDM1A,PHC2,pp,49,7.0
PCGF5,RING1,pp,11,3.3166247903554
HDAC2,KMT2A,pp,78,8.831760866327848
CHD1L,HLTF,pp,10,3.1622776601683795
KDM1A,TRIM28,pp,49,7.0
SIN3A,TAF1,pp,47,6.855654600401044
L3MBTL2,RBBP4,pp,27,5.196152422706632
EPC1,EZH2,pp,16,4.0
KDM1A,MTF2,pp,49,7.0
SMARCC2,SMARCE1,pp,41,6.4031242374328485
KMT2A,RBBP7,pp,40,6.324555320336759
CBX2,L3MBTL1,pp,13,3.605551275463989
RBBP7,SMARCA5,pp,53,7.280109889280518
KDM1A,SMARCC1,pp,49,7.0
DNMT3B,HDAC2,pp,33,5.744562646538029
CARM1,SMARCD1,pp,24,4.898979485566356
CBX5,EZH2,pp,39,6.244997998398398
HDAC4,SIN3A,pp,17,4.123105625617661
EZH2,SIN3A,pp,105,10.246950765959598
SIN3A,SIN3B,pp,47,6.855654600401044
KAT8,RNF2,pp,14,3.7416573867739413
CBX5,CHD1L,pp,39,6.244997998398398
EHMT2,L3MBTL2,pp,35,5.916079783099616
PHF20,WDR5,pp,4,2.0
PCGF5,RNF2,pp,11,3.3166247903554
L3MBTL2,PARP1,pp,27,5.196152422706632
RNF2,WDR5,pp,74,8.602325267042627
BRD1,KAT7,pp,8,2.8284271247461903
CHD1L,SSRP1,pp,10,3.1622776601683795
SIN3A,SMARCB1,pp,47,6.855654600401044
HDAC5,SUV39H1,pp,25,5.0
CBX3,MECP2,pp,38,6.164414002968976
KAT5,MORF4L1,pp,30,5.477225575051661
ARID2,SMARCD1,pp,10,3.1622776601683795
ACTL6B,SMARCA2,pp,6,2.449489742783178
MBD3,RBBP4,pp,29,5.385164807134504
CHD4,SSRP1,pp,60,7.745966692414834
CHD4,MBD2,pp,60,7.745966692414834
H2AFZ,MORF4L1,pp,12,3.4641016151377544
HDAC3,SUV39H1,pp,31,5.5677643628300215
EP300,PRKAA1,pp,58,7.615773105863909
CBX7,HDAC2,pp,14,3.7416573867739413
BRD9,SMARCC2,pp,9,3.0
