DB,DB_Object_ID,DB_Object_Symbol,Qualifier,GO_ID,DB:References,Evidence_code,With_or_from,Aspect_GO_DAG_Abbreviation,DB_Object_Name,DB_Object_Synonym,DB_Object_Type,Taxon,Date,Assigned_by,Annotation_extension,Gene_product_form_ID
MGI,MGI:87904,Actb,,GO:0000079,GO_REF:0000096|MGI:MGI:4417868,ISO,RGD:628837,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180526,MGI,,
MGI,MGI:87904,Actb,,GO:0000166,GO_REF:0000004|MGI:MGI:1354194,IEA,UniProtKB-KW:KW-0547,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20190428,UniProt,,
MGI,MGI:87904,Actb,,GO:0001725,GO_REF:0000096|MGI:MGI:4417868,ISO,RGD:628837,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20161007,MGI,,
MGI,MGI:87904,Actb,,GO:0002102,GO_REF:0000096|MGI:MGI:4417868,ISO,RGD:628837,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20161007,MGI,,
MGI,MGI:87904,Actb,,GO:0005515,MGI:MGI:4838957|PMID:20086016,IPI,UniProtKB:Q9JIP4,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20120424,MGI,,
MGI,MGI:87904,Actb,,GO:0005515,MGI:MGI:5644004|PMID:24855944,IPI,UniProtKB:Q923J1,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20190407,IntAct,,
MGI,MGI:87904,Actb,,GO:0005515,MGI:MGI:3715396|PMID:17531226,IPI,UniProtKB:P97792,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20190407,IntAct,,
MGI,MGI:87904,Actb,,GO:0005515,MGI:MGI:3613403|PMID:16407977,IPI,UniProtKB:Q923J1,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20190407,IntAct,,
MGI,MGI:87904,Actb,,GO:0005515,MGI:MGI:5294308|PMID:12522145,IPI,UniProtKB:Q96A23|UniProtKB:Q99829,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20150807,UniProt,,
MGI,MGI:87904,Actb,,GO:0005515,MGI:MGI:6158991|PMID:10683146,IPI,UniProtKB:O35926,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180515,ARUK-UCL,occurs_in(EMAPA:16894),
MGI,MGI:87904,Actb,,GO:0005515,MGI:MGI:5787727|PMID:26581985,IPI,UniProtKB:O41974,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20160525,AgBase,,
MGI,MGI:87904,Actb,,GO:0005515,MGI:MGI:3829808|PMID:19118186,IPI,UniProtKB:P61809,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20171215,ARUK-UCL,,
MGI,MGI:87904,Actb,,GO:0005524,GO_REF:0000004|MGI:MGI:1354194,IEA,UniProtKB-KW:KW-0067,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20190428,UniProt,,
MGI,MGI:87904,Actb,,GO:0005634,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20170710,MGI,,
MGI,MGI:87904,Actb,,GO:0005737,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180514,MGI,,
MGI,MGI:87904,Actb,,GO:0005737,MGI:MGI:6107410|PMID:24327345,IDA,,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180514,ARUK-UCL,,
MGI,MGI:87904,Actb,,GO:0005829,MGI:MGI:2177878|PMID:11931770,IDA,,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20090702,MGI,part_of(CL:0000893),
MGI,MGI:87904,Actb,,GO:0005829,MGI:MGI:3056865|PMID:15271982,IDA,,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20050114,MGI,part_of(CL:0000057),
MGI,MGI:87904,Actb,,GO:0005856,MGI:MGI:6107410|PMID:24327345,IDA,,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20171204,ARUK-UCL,,
MGI,MGI:87904,Actb,,GO:0005856,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20171204,MGI,,
MGI,MGI:87904,Actb,,GO:0005856,GO_REF:0000096|MGI:MGI:4417868,ISO,RGD:628837,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180526,MGI,,
MGI,MGI:87904,Actb,,GO:0007409,GO_REF:0000096|MGI:MGI:4417868,ISO,RGD:628837,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20050217,MGI,,
MGI,MGI:87904,Actb,,GO:0014069,GO_REF:0000096|MGI:MGI:4417868,ISO,RGD:628837,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20120322,MGI,,
MGI,MGI:87904,Actb,,GO:0015629,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20170710,MGI,,
MGI,MGI:87904,Actb,,GO:0019894,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20091112,MGI,,
MGI,MGI:87904,Actb,,GO:0019901,GO_REF:0000096|MGI:MGI:4417868,ISO,RGD:628837,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20080403,MGI,,
MGI,MGI:87904,Actb,,GO:0019901,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180115,MGI,,
MGI,MGI:87904,Actb,,GO:0022898,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180515,MGI,,
MGI,MGI:87904,Actb,,GO:0022898,GO_REF:0000096|MGI:MGI:4417868,ISO,RGD:628837,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180526,MGI,,
MGI,MGI:87904,Actb,,GO:0030424,GO_REF:0000096|MGI:MGI:4417868,ISO,RGD:628837,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20050217,MGI,,
MGI,MGI:87904,Actb,,GO:0030863,MGI:MGI:3806792|PMID:18723693,IDA,,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20081107,MGI,part_of(CL:0000232),
MGI,MGI:87904,Actb,,GO:0030957,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20110811,MGI,,
MGI,MGI:87904,Actb,,GO:0032091,MGI:MGI:3829808|PMID:19118186,IDA,,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20171103,ARUK-UCL,"has_regulation_target(UniProtKB:P49615),has_regulation_target(UniProtKB:P61809)",
