gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
CHD4,L3MBTL2,pp,60,7.745966692414834
MECP2,SUV39H1,pp,21,4.58257569495584
MECP2,PRMT6,pp,21,4.58257569495584
BAZ1B,SMARCA5,pp,15,3.872983346207417
PRMT5,SIN3A,pp,37,6.082762530298219
BAZ1B,SMARCC2,pp,15,3.872983346207417
CBX2,DNMT3B,pp,13,3.605551275463989
CBX2,KDM3A,pp,13,3.605551275463989
EPC1,KAT7,pp,16,4.0
MBD3,SMARCA5,pp,29,5.385164807134504
HELLS,L3MBTL2,pp,10,3.1622776601683795
TRIM33,UBE2E1,pp,10,3.1622776601683795
KDM1A,POLR2B,pp,49,7.0
CHD4,PAF1,pp,60,7.745966692414834
KAT2A,PPARGC1A,pp,9,3.0
KMT2B,WDR5,pp,6,2.449489742783178
MORF4L1,SIN3A,pp,24,4.898979485566356
KAT8,PAF1,pp,14,3.7416573867739413
CBX7,PCGF5,pp,14,3.7416573867739413
CHD1L,TRIM33,pp,10,3.1622776601683795
SIN3A,TET1,pp,47,6.855654600401044
CHD4,SIN3A,pp,60,7.745966692414834
KAT2A,WDR5,pp,9,3.0
CBX5,CHD1L,pp,39,6.244997998398398
L3MBTL2,PARP1,pp,27,5.196152422706632
KMT2A,MBD3,pp,40,6.324555320336759
KMT2A,SMARCC2,pp,40,6.324555320336759
JADE1,KAT7,pp,6,2.449489742783178
KMT2D,WDR5,pp,15,3.872983346207417
DNMT3B,SIN3A,pp,33,5.744562646538029
CARM1,SMARCC2,pp,24,4.898979485566356
CHD4,KDM1A,pp,60,7.745966692414834
TRIM24,TRIM33,pp,9,3.0
L3MBTL2,SMARCA5,pp,27,5.196152422706632
KMT2A,WDR5,pp,40,6.324555320336759
CHD4,MBD3,pp,60,7.745966692414834
ATRX,MECP2,pp,11,3.3166247903554
CBX6,PCGF5,pp,16,4.0
CARM1,WDR5,pp,24,4.898979485566356
CBX5,SUV39H1,pp,39,6.244997998398398
DNMT3B,SMARCA5,pp,33,5.744562646538029
CHD4,HELLS,pp,60,7.745966692414834
KDM5D,KMT2A,pp,2,1.4142135623730951
CBX5,DNMT3B,pp,39,6.244997998398398
CHD4,SMARCA5,pp,60,7.745966692414834
KDM4C,PRMT5,pp,10,3.1622776601683795
PARP1,TRIM33,pp,36,6.0
CHD4,DNMT3B,pp,60,7.745966692414834
CARM1,PARP1,pp,24,4.898979485566356
PRMT6,SUV39H1,pp,7,2.6457513110645907
CBX5,TRIM24,pp,39,6.244997998398398
CBX6,CHAF1B,pp,16,4.0
CHD4,KAT7,pp,60,7.745966692414834
CHD4,SIRT6,pp,60,7.745966692414834
DNMT3B,SUV39H1,pp,33,5.744562646538029
BPTF,CBX6,pp,11,3.3166247903554
CBX5,CHD4,pp,39,6.244997998398398
CARM1,PRMT5,pp,24,4.898979485566356
SIN3A,SMARCC2,pp,47,6.855654600401044
BAZ1B,MBD3,pp,15,3.872983346207417
HIRA,MECP2,pp,8,2.8284271247461903
CBX5,CHAF1A,pp,39,6.244997998398398
KDM3A,PRMT5,pp,6,2.449489742783178
CHAF1A,PAF1,pp,29,5.385164807134504
PRMT5,WDR5,pp,37,6.082762530298219
KDM1A,MBD3,pp,49,7.0
PCGF5,UBE2E1,pp,11,3.3166247903554
HIRA,SMARCC2,pp,8,2.8284271247461903
BAZ1B,CHD4,pp,15,3.872983346207417
CHAF1A,SMARCA5,pp,29,5.385164807134504
MBD3,TET1,pp,29,5.385164807134504
ACTL6B,SMARCC2,pp,6,2.449489742783178
CHAF1A,SIN3A,pp,29,5.385164807134504
KDM1A,KDM4C,pp,49,7.0
CLOCK,KMT2A,pp,8,2.8284271247461903
DNMT3B,PAF1,pp,33,5.744562646538029
KDM1A,SUV39H1,pp,49,7.0
NAP1L1,NAP1L2,pp,9,3.0
CBX5,MECP2,pp,39,6.244997998398398
CHD4,IWS1,pp,60,7.745966692414834
L3MBTL2,SIN3A,pp,27,5.196152422706632
PCGF5,PRMT6,pp,11,3.3166247903554
HELLS,WDR5,pp,10,3.1622776601683795
MECP2,SIN3A,pp,21,4.58257569495584
L3MBTL2,WDR5,pp,27,5.196152422706632
CBX2,PARP1,pp,13,3.605551275463989
CHD1L,PARP1,pp,10,3.1622776601683795
CHAF1A,WDR5,pp,29,5.385164807134504
CHD4,KMT2A,pp,60,7.745966692414834
KAT8,MORF4L1,pp,14,3.7416573867739413
PRMT5,SIRT6,pp,37,6.082762530298219
CARM1,NCOA3,pp,24,4.898979485566356
CHD4,SUV39H1,pp,60,7.745966692414834
CHD4,PARP1,pp,60,7.745966692414834
EPC1,MORF4L1,pp,16,4.0
CHD2,PAF1,pp,5,2.23606797749979
SIRT6,SMARCA5,pp,17,4.123105625617661
KAT6A,WDR5,pp,6,2.449489742783178
ARID2,SMARCC2,pp,10,3.1622776601683795
CHAF1A,CHD4,pp,29,5.385164807134504
CHAF1A,KDM1A,pp,29,5.385164807134504
KDM1A,PRMT5,pp,49,7.0
PARP1,PRKAA1,pp,36,6.0
L3MBTL2,MBD3,pp,27,5.196152422706632
KAT6A,KMT2A,pp,6,2.449489742783178
DNMT3B,HELLS,pp,33,5.744562646538029
CHAF1A,KAT7,pp,29,5.385164807134504
CBX5,CHAF1B,pp,39,6.244997998398398
CLOCK,KDM1A,pp,8,2.8284271247461903
KDM1A,SIN3A,pp,49,7.0
KAT8,WDR5,pp,14,3.7416573867739413
ATRX,CBX5,pp,11,3.3166247903554
CHAF1A,CHAF1B,pp,29,5.385164807134504
PPARGC1A,PRKAA1,pp,9,3.0
SMARCA5,SMARCC2,pp,31,5.5677643628300215
PRMT5,PRMT6,pp,37,6.082762530298219
KAT8,KMT2A,pp,14,3.7416573867739413
KMT2A,PAF1,pp,40,6.324555320336759
PAF1,UBE2E1,pp,21,4.58257569495584
JADE1,UBE2E1,pp,6,2.449489742783178
CHD4,SMARCC2,pp,60,7.745966692414834
MBD3,SIN3A,pp,29,5.385164807134504
KMT2A,SIN3A,pp,40,6.324555320336759
SIN3A,SMARCA5,pp,47,6.855654600401044
