gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
AFF1,HDAC1,pp,8,2.8284271247461903
ATM,DNMT1,pp,23,4.795831523312719
MECP2,SUV39H1,pp,21,4.58257569495584
MECP2,PRMT6,pp,21,4.58257569495584
CARM1,EED,pp,24,4.898979485566356
HDAC3,SMARCD1,pp,31,5.5677643628300215
CBX4,EED,pp,26,5.0990195135927845
CBX7,PHC3,pp,14,3.7416573867739413
CBX3,WDR5,pp,38,6.164414002968976
KAT2A,TAF3,pp,9,3.0
BAZ1B,SMARCC2,pp,15,3.872983346207417
PAF1,SMARCD3,pp,21,4.58257569495584
CXXC1,WDR5,pp,16,4.0
BAZ1A,MECP2,pp,13,3.605551275463989
BRPF1,ING4,pp,6,2.449489742783178
HDAC1,MECP2,pp,91,9.539392014169456
NAP1L1,SSRP1,pp,9,3.0
SUV39H1,UHRF1,pp,29,5.385164807134504
PAF1,SSRP1,pp,21,4.58257569495584
ING2,PRMT5,pp,14,3.7416573867739413
BAZ1B,EED,pp,15,3.872983346207417
HDAC1,ING2,pp,91,9.539392014169456
KAT2A,PPARGC1A,pp,9,3.0
BAZ1A,BAZ1B,pp,13,3.605551275463989
EED,SMARCD1,pp,87,9.327379053088816
HDAC3,L3MBTL2,pp,31,5.5677643628300215
NCOA1,NCOR1,pp,16,4.0
HDAC1,SUV39H1,pp,91,9.539392014169456
GTF2F1,GTF2H1,pp,10,3.1622776601683795
CBX7,EED,pp,14,3.7416573867739413
KAT2A,WDR5,pp,9,3.0
EED,SMYD3,pp,87,9.327379053088816
DNMT1,HDAC3,pp,40,6.324555320336759
CBX8,EED,pp,26,5.0990195135927845
CARM1,SMARCD1,pp,24,4.898979485566356
CBX3,MECP2,pp,38,6.164414002968976
HDAC3,SUV39H1,pp,31,5.5677643628300215
BRD2,CARM1,pp,10,3.1622776601683795
HDAC3,NCOR1,pp,31,5.5677643628300215
HDAC3,NCOR2,pp,31,5.5677643628300215
ING2,SMARCC2,pp,14,3.7416573867739413
BRD2,BRPF1,pp,10,3.1622776601683795
KMT2A,SMARCC2,pp,40,6.324555320336759
SMARCC2,SMARCD3,pp,41,6.4031242374328485
EED,NAP1L1,pp,87,9.327379053088816
DNMT1,PRMT5,pp,40,6.324555320336759
PAF1,RNF20,pp,21,4.58257569495584
BRPF1,GTF2H1,pp,6,2.449489742783178
CARM1,SMARCC2,pp,24,4.898979485566356
EED,SSRP1,pp,87,9.327379053088816
PRMT6,SMARCD1,pp,7,2.6457513110645907
MECP2,NCOR1,pp,21,4.58257569495584
DNMT1,UHRF1,pp,40,6.324555320336759
CBX8,KMT2A,pp,26,5.0990195135927845
MBD2,PRMT5,pp,22,4.69041575982343
ACTL6B,SMARCD1,pp,6,2.449489742783178
KMT2A,WDR5,pp,40,6.324555320336759
HDAC1,WDR5,pp,91,9.539392014169456
CARM1,WDR5,pp,24,4.898979485566356
KDM6A,KMT2C,pp,18,4.242640687119285
KDM5D,KMT2A,pp,2,1.4142135623730951
HDAC1,SMARCC2,pp,91,9.539392014169456
BPTF,EED,pp,11,3.3166247903554
BAZ1B,ING3,pp,15,3.872983346207417
DNMT1,SETD7,pp,40,6.324555320336759
CBX8,PHC3,pp,26,5.0990195135927845
ING4,KMT2A,pp,12,3.4641016151377544
EED,EP400,pp,87,9.327379053088816
RNF20,UBE2B,pp,9,3.0
EED,NCOR1,pp,87,9.327379053088816
PRMT6,SUV39H1,pp,7,2.6457513110645907
DNMT1,SUV39H1,pp,40,6.324555320336759
HDAC1,TET1,pp,91,9.539392014169456
EED,L3MBTL2,pp,87,9.327379053088816
ING2,WDR5,pp,14,3.7416573867739413
HDAC1,KMT2A,pp,91,9.539392014169456
DNMT1,MECP2,pp,40,6.324555320336759
FKBP5,PRKAA1,pp,3,1.7320508075688772
DNMT1,MBD2,pp,40,6.324555320336759
SIRT3,SIRT4,pp,2,1.4142135623730951
EED,PRKAA1,pp,87,9.327379053088816
BAZ1B,HDAC11,pp,15,3.872983346207417
EED,HDAC8,pp,87,9.327379053088816
SMARCD1,SMARCD3,pp,30,5.477225575051661
CARM1,PRMT5,pp,24,4.898979485566356
L3MBTL3,PRKAA1,pp,11,3.3166247903554
EED,SMARCC2,pp,87,9.327379053088816
HDAC3,WDR5,pp,31,5.5677643628300215
KDM3A,PRMT5,pp,6,2.449489742783178
PRMT5,WDR5,pp,37,6.082762530298219
CBX4,SUV39H1,pp,26,5.0990195135927845
KMT2C,WDR5,pp,12,3.4641016151377544
ATM,HDAC1,pp,23,4.795831523312719
CBX3,SUV39H1,pp,38,6.164414002968976
EP400,HDAC1,pp,23,4.795831523312719
ATM,KDM6A,pp,23,4.795831523312719
MBD2,PAF1,pp,22,4.69041575982343
ACTL6B,SMARCC2,pp,6,2.449489742783178
CBX3,EED,pp,38,6.164414002968976
NCOR1,SMARCD1,pp,34,5.830951894845301
PRMT5,UHRF1,pp,37,6.082762530298219
CBX4,KMT2A,pp,26,5.0990195135927845
HDAC1,UHRF1,pp,91,9.539392014169456
CBX4,PHC3,pp,26,5.0990195135927845
DNMT1,EED,pp,40,6.324555320336759
CXXC1,DNMT1,pp,16,4.0
NCOR1,NCOR2,pp,34,5.830951894845301
CBX3,L3MBTL2,pp,38,6.164414002968976
KDM6A,WDR5,pp,18,4.242640687119285
L3MBTL2,WDR5,pp,27,5.196152422706632
HDAC1,NCOR2,pp,91,9.539392014169456
BPTF,NCOR1,pp,11,3.3166247903554
EED,PHC3,pp,87,9.327379053088816
PAF1,PHC3,pp,21,4.58257569495584
ING4,SUV39H1,pp,12,3.4641016151377544
SMARCC2,SMARCD1,pp,41,6.4031242374328485
ACTL6B,EP400,pp,6,2.449489742783178
DNMT1,HDAC1,pp,40,6.324555320336759
EED,HDAC1,pp,87,9.327379053088816
HDAC1,MBD2,pp,91,9.539392014169456
HDAC1,PRMT5,pp,91,9.539392014169456
BAZ1A,NCOR1,pp,13,3.605551275463989
EP400,ING3,pp,23,4.795831523312719
AFF1,KMT2A,pp,8,2.8284271247461903
ING4,JADE1,pp,12,3.4641016151377544
CBX4,KDM3A,pp,26,5.0990195135927845
NCOR1,SMARCC2,pp,34,5.830951894845301
ATM,UHRF1,pp,23,4.795831523312719
NCOA1,PPARGC1A,pp,16,4.0
CARM1,NCOA1,pp,24,4.898979485566356
BAZ1A,EED,pp,13,3.605551275463989
ING3,KDM6A,pp,15,3.872983346207417
ATM,RNF20,pp,23,4.795831523312719
CBX4,CBX8,pp,26,5.0990195135927845
CBX3,UHRF1,pp,38,6.164414002968976
CXXC1,KMT2A,pp,16,4.0
PPARGC1A,PRKAA1,pp,9,3.0
PRMT5,PRMT6,pp,37,6.082762530298219
AFF1,CARM1,pp,8,2.8284271247461903
RNF20,UBE2E1,pp,9,3.0
ACTL6B,ATM,pp,6,2.449489742783178
HDAC1,SMARCD1,pp,91,9.539392014169456
KMT2A,PAF1,pp,40,6.324555320336759
PAF1,UBE2E1,pp,21,4.58257569495584
JADE1,UBE2E1,pp,6,2.449489742783178
HDAC1,L3MBTL2,pp,91,9.539392014169456
