gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
HDAC9,SIN3B,pp,11,3.3166247903554
KDM6B,SMARCC1,pp,16,4.0
MBD3,SMARCA5,pp,29,5.385164807134504
RPA3,SMARCC2,pp,14,3.7416573867739413
SIRT3,SIRT5,pp,2,1.4142135623730951
MEN1,SIN3A,pp,19,4.358898943540674
SIN3A,TET1,pp,47,6.855654600401044
ARID1A,SMARCC2,pp,26,5.0990195135927845
PCGF2,PHC3,pp,15,3.872983346207417
SMARCD2,SMARCE1,pp,20,4.47213595499958
SETD1A,WDR5,pp,15,3.872983346207417
SMARCC2,SMARCE1,pp,41,6.4031242374328485
SIN3A,SIN3B,pp,47,6.855654600401044
BRD4,KDM6B,pp,27,5.196152422706632
KMT2A,MBD3,pp,40,6.324555320336759
RING1,WDR5,pp,24,4.898979485566356
HCFC1,KMT2A,pp,32,5.656854249492381
NCOA1,SMARCC1,pp,16,4.0
KMT2A,SMARCC2,pp,40,6.324555320336759
MBD3,MTA1,pp,29,5.385164807134504
KDM2B,WDR5,pp,15,3.872983346207417
BRD4,KDM2B,pp,27,5.196152422706632
KMT2D,WDR5,pp,15,3.872983346207417
ARID1A,SIN3A,pp,26,5.0990195135927845
ARID1A,SMARCE1,pp,26,5.0990195135927845
HCFC1,RPA3,pp,32,5.656854249492381
KMT2A,WDR5,pp,40,6.324555320336759
RNF40,UBE2E1,pp,10,3.1622776601683795
SIN3A,SMARCE1,pp,47,6.855654600401044
SMARCA1,SMARCC2,pp,14,3.7416573867739413
BRD4,SIRT5,pp,27,5.196152422706632
BRD7,SMARCC2,pp,16,4.0
BRD7,SMARCE1,pp,16,4.0
SIN3A,SMARCC1,pp,47,6.855654600401044
SMARCC1,SMARCC2,pp,45,6.708203932499369
KMT2A,SMARCC1,pp,40,6.324555320336759
SIRT3,SIRT4,pp,2,1.4142135623730951
KDM6B,PRMT7,pp,16,4.0
HCFC1,WDR5,pp,32,5.656854249492381
HCFC1,SETD1A,pp,32,5.656854249492381
NCOA1,PRMT1,pp,16,4.0
PHC3,RING1,pp,14,3.7416573867739413
CBX6,PHC3,pp,16,4.0
SIN3A,SMARCC2,pp,47,6.855654600401044
HCFC1,SIN3B,pp,32,5.656854249492381
KDM2B,SIN3A,pp,15,3.872983346207417
MTA1,PHF20L1,pp,30,5.477225575051661
ARID1A,NCOA1,pp,26,5.0990195135927845
MBD2,PHF20L1,pp,22,4.69041575982343
POLR2B,ZMYND8,pp,11,3.3166247903554
SMARCA5,SMARCC1,pp,31,5.5677643628300215
RING1,UBE2E1,pp,24,4.898979485566356
SMARCC1,SMARCE1,pp,45,6.708203932499369
MBD3,TET1,pp,29,5.385164807134504
KDM3A,KDM6B,pp,6,2.449489742783178
MECP2,SMARCE1,pp,21,4.58257569495584
CBX6,RING1,pp,16,4.0
MBD2,MBD3,pp,22,4.69041575982343
HCFC1,MEN1,pp,32,5.656854249492381
SMARCC2,SMARCD2,pp,41,6.4031242374328485
SETD1A,SMARCA1,pp,15,3.872983346207417
MBD2,MTA1,pp,22,4.69041575982343
NCOA1,SMARCE1,pp,16,4.0
RPA3,SMARCA5,pp,14,3.7416573867739413
KMT2D,MEN1,pp,15,3.872983346207417
KDM6B,WDR5,pp,16,4.0
KMT2A,MEN1,pp,40,6.324555320336759
MECP2,SIN3A,pp,21,4.58257569495584
SIN3B,SMARCE1,pp,15,3.872983346207417
MBD2,ZMYND8,pp,22,4.69041575982343
AFF1,EAF1,pp,8,2.8284271247461903
MEN1,WDR5,pp,19,4.358898943540674
HCFC1,SIN3A,pp,32,5.656854249492381
SMARCC1,SMARCD2,pp,45,6.708203932499369
KAT6A,WDR5,pp,6,2.449489742783178
ARID1A,SMARCD2,pp,26,5.0990195135927845
SMARCA1,SMARCA5,pp,14,3.7416573867739413
CBX6,PCGF2,pp,16,4.0
KDM6B,KMT2A,pp,16,4.0
AFF1,KMT2A,pp,8,2.8284271247461903
BRD4,KDM3A,pp,27,5.196152422706632
MBD2,PRMT1,pp,22,4.69041575982343
HDAC9,SIN3A,pp,11,3.3166247903554
ARID1A,SMARCC1,pp,26,5.0990195135927845
KDM2B,RING1,pp,15,3.872983346207417
BRD4,KMT2A,pp,27,5.196152422706632
KAT6A,KMT2A,pp,6,2.449489742783178
BRD7,SMARCC1,pp,16,4.0
MTA1,SIN3A,pp,30,5.477225575051661
MTA1,ZMYND8,pp,30,5.477225575051661
MBD2,SIN3A,pp,22,4.69041575982343
SMARCA5,SMARCC2,pp,31,5.5677643628300215
PRDM14,PRDM6,pp,5,2.23606797749979
MBD3,ZMYND8,pp,29,5.385164807134504
PCGF2,RING1,pp,15,3.872983346207417
SMARCA1,SMARCC1,pp,14,3.7416573867739413
MBD3,PHF20L1,pp,29,5.385164807134504
MEN1,POLR2B,pp,19,4.358898943540674
AFF1,BRD4,pp,8,2.8284271247461903
MBD3,SIN3A,pp,29,5.385164807134504
KMT2A,SIN3A,pp,40,6.324555320336759
SIN3A,SMARCA5,pp,47,6.855654600401044
