gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
HDAC1,KMT2E,pp,91,9.539392014169456
UBE2E1,UBE2I,pp,13,3.605551275463989
AFF1,HDAC1,pp,8,2.8284271247461903
KMT2C,WDR82,pp,12,3.4641016151377544
EP300,SATB1,pp,58,7.615773105863909
ACTB,CARM1,pp,18,4.242640687119285
EZH2,SMYD3,pp,105,10.246950765959598
CHD4,L3MBTL2,pp,60,7.745966692414834
KDM5B,KMT2A,pp,23,4.795831523312719
DNMT3B,MBD4,pp,33,5.744562646538029
CBX3,CHAF1B,pp,38,6.164414002968976
RNF2,SMARCA4,pp,74,8.602325267042627
NCOA3,SETDB1,pp,16,4.0
EZH2,L3MBTL3,pp,105,10.246950765959598
MBD1,RNF2,pp,9,3.0
MECOM,SIRT1,pp,12,3.4641016151377544
CHD9,PRKCD,pp,2,1.4142135623730951
ATM,DNMT1,pp,23,4.795831523312719
L3MBTL2,RBBP7,pp,27,5.196152422706632
HDAC1,HELLS,pp,91,9.539392014169456
SIN3B,SMARCA4,pp,15,3.872983346207417
GTF2F1,PHF19,pp,10,3.1622776601683795
BRCA1,CBX5,pp,56,7.483314773547883
HDAC2,TET2,pp,78,8.831760866327848
EP300,ING5,pp,58,7.615773105863909
EHMT1,L3MBTL1,pp,17,4.123105625617661
ACTB,RNF2,pp,18,4.242640687119285
CLOCK,KAT2B,pp,8,2.8284271247461903
BRD9,WDR5,pp,9,3.0
SMARCA4,SMARCB1,pp,60,7.745966692414834
MECP2,SUV39H1,pp,21,4.58257569495584
ASH2L,CHD8,pp,27,5.196152422706632
CHAF1B,SETDB1,pp,10,3.1622776601683795
MECP2,PRMT6,pp,21,4.58257569495584
BRCA1,PCMT1,pp,56,7.483314773547883
PAXIP1,WDR5,pp,16,4.0
GTF2B,NAP1L1,pp,8,2.8284271247461903
MTA1,SUZ12,pp,30,5.477225575051661
BRCA1,UBE2I,pp,56,7.483314773547883
EP300,KAT6A,pp,58,7.615773105863909
L3MBTL2,PHF10,pp,27,5.196152422706632
HDAC9,SIN3B,pp,11,3.3166247903554
BRCA1,ERCC5,pp,56,7.483314773547883
ARID1A,SMARCD1,pp,26,5.0990195135927845
CBX4,KDM2B,pp,26,5.0990195135927845
PHC3,SCMH1,pp,14,3.7416573867739413
CHAF1A,MBD1,pp,29,5.385164807134504
EPC2,MORF4L1,pp,9,3.0
EPC1,RNF2,pp,16,4.0
PCGF1,PCMT1,pp,20,4.47213595499958
EED,MTA1,pp,87,9.327379053088816
ACTB,EPC1,pp,18,4.242640687119285
EZH2,SMARCC1,pp,105,10.246950765959598
CARM1,EED,pp,24,4.898979485566356
CBX3,CHD1L,pp,38,6.164414002968976
RBBP5,SMARCD1,pp,29,5.385164807134504
PCGF2,PHC1,pp,15,3.872983346207417
CREBBP,MECOM,pp,38,6.164414002968976
HDAC4,UBE2I,pp,17,4.123105625617661
BMI1,EZH2,pp,57,7.54983443527075
BAZ1B,SMARCA5,pp,15,3.872983346207417
HDAC3,SMARCD1,pp,31,5.5677643628300215
BRCA1,PARP1,pp,56,7.483314773547883
