gene_name,x,y
TRIM24,0.62836397,4.973876
RPA3,1.8656706,3.8239923
KDM2B,3.5318763,7.305445
SP110,2.2875395,5.8134813
ARID2,5.7845583,4.9753723
DPY30,0.38019824,7.6816406
ARID1B,4.80085,5.621652
KDM3B,0.9728868,4.0950904
PHF10,4.879131,4.981982
PRDM5,-0.3740365,4.43593
PHC2,2.3919942,7.1649632
JARID2,3.9052088,0.31032345
SMARCA2,5.6650195,4.5119824
CXXC1,0.04155708,7.7984457
SSRP1,1.6396682,3.6757677
MSL3,-0.38498956,3.1405358
SETD7,-1.1632903,5.253185
KDM8,2.262919,4.769866
SFMBT2,-0.42399326,3.3777165
PCGF1,3.4117103,7.610045
BRD4,0.39350188,2.3171833
MTA2,3.103917,1.8757931
EHMT2,3.299716,4.069104
MEN1,-0.5114639,7.6594205
MORF4L1,4.2660756,2.3442397
PRDM16,-0.85316926,4.7464247
MTA3,2.890072,1.2755696
KAT8,-0.8811168,7.7896056
L3MBTL4,-0.24213356,3.0896392
POLR2B,2.3769734,3.8633132
ELP3,1.1882107,4.9540944
WDR82,1.0440469,7.117325
SCML2,2.6801355,8.182105
ZMYND11,0.8703479,6.5710707
NAP1L1,1.9702905,4.3338785
EZH2,3.466703,0.9733803
PRDM4,0.98693675,5.7469106
FBXL19,0.4082188,3.6905851
BRD7,5.62737,4.724726
SMARCA5,1.9627086,1.6568755
HDAC1,2.5250492,2.4682007
CHD5,2.6360989,1.4109931
EED,3.3956883,0.8309874
GTF3C4,2.1867077,3.5548406
ZMYND8,3.397212,2.8450124
KDM2A,0.57507455,8.153063
PARP1,0.75596046,4.628477
HDAC6,0.32355648,6.881258
INO80,-0.44247296,5.1994686
RNF40,1.9082718,2.9063962
SETDB1,2.9477284,3.3383737
KDM4A,0.77803075,5.5924263
MLL2,-0.33966607,8.282885
KDM1A,1.3296577,2.7294624
SETD1A,0.030921834,8.212477
PCGF6,3.372151,6.6570106
PADI4,2.6456528,4.708071
H2AFZ,0.38000095,4.6898427
PHF19,3.765062,0.3880807
PHC1,2.1224704,7.827188
WHSC1L1,3.1205041,4.611201
PRMT5,-1.0417098,5.3296065
PRMT1,1.0958121,5.915425
BOP1,0.8613902,2.1330318
RNF2,2.9456315,7.3582997
SETD8,2.9622405,5.21179
SIRT1,1.7100595,5.8627753
SMARCA4,4.9913983,4.5603495
L3MBTL2,3.2649224,5.7685375
HAT1,2.376192,1.8318245
EZH1,3.8592336,0.812833
PHF20,-0.71476793,7.6071362
PRKAA2,2.6387665,5.987705
PBRM1,4.761581,5.185039
SMARCC2,4.720441,4.3644032
PHC3,2.483977,7.833351
KDM5B,1.5379235,5.0322986
SETD4,0.01113822,5.546499
PHF17,-1.0287846,1.5354106
KAT7,-0.77805126,1.5981419
ARID1A,5.550432,5.0388317
L3MBTL1,0.35557103,3.407928
WDR5,-0.17220038,7.712686
SETMAR,-0.8037746,5.956405
CBX6,2.7606199,8.213717
BRD1,-0.5668611,1.7150418
BRD8,4.169013,2.5721385
PHF1,3.5960407,0.53384966
KDM5A,3.899411,2.5658033
KDM6B,-1.3228489,5.7695055
SFMBT1,0.3598647,2.8251274
DOT1L,0.325851,5.3576612
ATRX,1.3464743,1.8630205
KDM5C,-0.28578416,6.3362336
KDM4B,0.007240638,3.925465
SMARCD2,5.034246,4.6647687
SP100,1.3146498,5.2199926
KDM4D,4.210833,4.503455
ACTB,-0.46033353,4.3923445
SIN3B,3.8825808,2.069305
CHD1,3.0145566,6.690813
SMYD3,0.091411404,5.9574227
SMYD5,0.2685123,5.185963
EP400,3.891991,2.2984724
JHDM1D,-1.0691737,5.8571067
FKBP5,1.7187374,3.2311537
SCMH1,2.3261836,7.953522
BRD9,6.0353093,4.9367156
PRMT3,-0.33567274,5.7726016
SIN3A,2.733203,2.1369967
GTF2H1,-1.4967313,3.9262595
CHD3,2.4902163,1.0074791
KDM4C,3.8466854,4.990902
CHAF1B,3.2675314,3.5258274
PRDM9,-0.60585487,5.518435
L3MBTL3,0.11359768,2.8397949
PCMT1,0.23523717,3.5510309
RING1,2.798004,7.1186333
BRPF3,-0.7069295,0.9902232
PHF8,-0.42026782,4.5908775
USP27X,-2.0655518,7.3320904
PAF1,1.1597459,3.9965405
USP51,-1.9458101,6.766793
HDAC2,2.930811,2.335542
ING5,0.067093395,1.439849
CHD4,2.801802,3.107683
SMARCA1,2.0836368,1.3725944
HCFC1,-0.58462304,7.376834
CBX4,1.8599324,6.9848723
