namespace,name,def
biological_process,glucocorticoid receptor signaling pathway,"""Any series of molecular signals generated as a consequence of a glucocorticoid binding to its receptor."" [GOC:mah]"
biological_process,ureter morphogenesis,"""The process in which the anatomical structures of the ureter are generated and organized. The ureter is a muscular tube that transports urine from the kidney to the urinary bladder."" [GOC:mtg_kidney_jan10]"
biological_process,peptidyl-lysine butyrylation,"""The butyrylation of a lysine residue in a protein. Butyryl is the univalent radical C3H7COO- derived from butyric acid."" [PMID:27105113, Wikipedia:butyryl]"
biological_process,nervous system development,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]"
biological_process,positive regulation of p38MAPK cascade,"""Any process that activates or increases the frequency, rate or extent of p38MAPK cascade."" [GOC:TermGenie]"
biological_process,cardiac muscle hypertrophy in response to stress,"""The physiological enlargement or overgrowth of all or part of the heart muscle due to an increase in size (not length) of individual cardiac muscle fibers, without cell division, as a result of a disturbance in organismal or cellular homeostasis."" [GOC:BHF, GOC:mtg_cardiac_conduct_nov11, GOC:mtg_muscle]"
biological_process,blood circulation,"""The flow of blood through the body of an animal, enabling the transport of nutrients to the tissues and the removal of waste products."" [GOC:mtg_heart, ISBN:0192800825]"
biological_process,regulation of pyruvate kinase activity,"""Any process that modulates the frequency, rate or extent of pyruvate kinase activity."" [GO_REF:0000059, GOC:mr, GOC:TermGenie, PMID:15804508]"
biological_process,phosphatidylcholine metabolic process,"""The chemical reactions and pathways involving phosphatidylcholines, any of a class of glycerophospholipids in which the phosphatidyl group is esterified to the hydroxyl group of choline. They are important constituents of cell membranes."" [ISBN:0198506732]"
biological_process,innate immune response,"""Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens."" [GO_REF:0000022, GOC:add, GOC:ebc, GOC:mtg_15nov05, GOC:mtg_sensu]"
biological_process,cellular response to retinoic acid,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a retinoic acid stimulus."" [GOC:mah]"
biological_process,intrinsic apoptotic signaling pathway in response to DNA damage,"""A series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the detection of DNA damage, and ends when the execution phase of apoptosis is triggered."" [GOC:go_curators, GOC:mtg_apoptosis]"
biological_process,positive regulation of JNK cascade,"""Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the JNK cascade."" [GOC:bf]"
biological_process,biological_process,"""A biological process represents a specific objective that the organism is genetically programmed to achieve. Biological processes are often described by their outcome or ending state, e.g., the biological process of cell division results in the creation of two daughter cells (a divided cell) from a single parent cell. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."" [GOC:pdt]"
cellular_component,neuronal cell body,"""The portion of a neuron that includes the nucleus, but excludes cell projections such as axons and dendrites."" [GOC:go_curators]"
cellular_component,myelin sheath,"""An electrically insulating fatty layer that surrounds the axons of many neurons. It is an outgrowth of glial cells: Schwann cells supply the myelin for peripheral neurons while oligodendrocytes supply it to those of the central nervous system."" [GOC:cjm, GOC:jl, NIF_Subcellular:sao-593830697, Wikipedia:Myelin]"
biological_process,regulation of respiratory gaseous exchange by neurological system process,"""A process carried out by the nervous system that is required for the proper control of respiratory gaseous exchange. This process occurs in the respiratory center of the brain in vertebrates."" [GOC:dph, GOC:tb, PMID:12458206]"
molecular_function,DNA replication origin binding,"""Interacting selectively and non-covalently with the DNA replication origin, a unique DNA sequence of a replicon at which DNA replication is initiated and proceeds bidirectionally or unidirectionally."" [GOC:curators]"
biological_process,negative regulation of oligodendrocyte differentiation,"""Any process that stops, prevents, or reduces the frequency, rate or extent of oligodendrocyte differentiation."" [GOC:vp, PMID:15139015]"
biological_process,protein processing,"""Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein."" [GOC:curators, GOC:jl, GOC:jsg]"
biological_process,protein deacetylation,"""The removal of an acetyl group from a protein amino acid. An acetyl group is CH3CO-, derived from acetic [ethanoic] acid."" [GOC:ai]"
biological_process,positive regulation of cell size,"""Any process that increases cell size."" [GOC:go_curators]"
molecular_function,annealing helicase activity,"""Catalysis of the ATP-dependent rewinding of single-stranded DNA (ssDNA) to reform base pairs between strands. Often acts on ssDNA bubbles bound by replication protein A (RPA)."" [GOC:bf, GOC:sp, PMID:21078962, PMID:22704558, PMID:22705370, PMID:22759634]"
molecular_function,chromo shadow domain binding,"""Interacting selectively and non-covalently with a chromo shadow domain, a protein domain that is distantly related, and found in association with, the chromo domain."" [GOC:BHF, GOC:vk, InterPro:IPR008251, PMID:7667093]"
molecular_function,RNA polymerase II transcription corepressor binding,"""Interacting selectively and non-covalently with an RNA polymerase II transcription corepressor, any protein involved in negative regulation of transcription by RNA polymerase II via protein-protein interactions with transcription factors and other proteins that negatively regulate transcription. Transcription corepressors do not bind DNA directly, but rather mediate protein-protein interactions between repressing transcription factors and the basal transcription machinery of RNA polymerase II."" [GOC:krc]"
biological_process,negative regulation of I-kappaB kinase/NF-kappaB signaling,"""Any process that stops, prevents, or reduces the frequency, rate or extent of -kappaB kinase/NF-kappaB signaling."" [GOC:jl]"
biological_process,positive regulation of cell differentiation,"""Any process that activates or increases the frequency, rate or extent of cell differentiation."" [GOC:go_curators]"
molecular_function,estrogen receptor binding,"""Interacting selectively and non-covalently with an estrogen receptor."" [GOC:ai]"
biological_process,inactivation of paternal X chromosome,"""Compensating for the two-fold variation in X-chromosome:autosome ratios between sexes by a global inactivation of all, or most of, the genes specifically on the paternal X-chromosome in the XX sex."" [GOC:dph, GOC:sdb_2009, GOC:tb]"
molecular_function,structural constituent of postsynaptic actin cytoskeleton,"""The action of a molecule that contributes to the structural integrity of a postsynaptic actin cytoskeleton."" [GOC:dos]"
biological_process,positive regulation of meiotic nuclear division,"""Any process that activates or increases the frequency, rate or extent of meiosis."" [GOC:go_curators]"
cellular_component,"chromosome, telomeric region","""The terminal region of a linear chromosome that includes the telomeric DNA repeats and associated proteins."" [GOC:elh]"
cellular_component,HIR complex,"""A protein complex proposed to be involved in replication-independent nucleosome assembly, by promoting histone deposition onto DNA. For example, in Saccharomyces, the complex contains Hir1p, Hir2p, Hir3p, and Hpc2p."" [GOC:elh, GOC:mah, PMID:16303565, PMID:17180700]"
molecular_function,cysteine-type endopeptidase activity,"""Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile."" [GOC:mah, http://merops.sanger.ac.uk/about/glossary.htm#CATTYPE, http://merops.sanger.ac.uk/about/glossary.htm#ENDOPEPTIDASE]"
cellular_component,CAF-1 complex,"""A conserved heterotrimeric protein complex that promotes histone H3 and H4 deposition onto newly synthesized DNA during replication or DNA repair; specifically facilitates replication-dependent nucleosome assembly with the major histone H3 (H3.1). In many species the CAF-1 subunits are designated p150, p60, and p48."" [PMID:17065558, PMID:17083276]"
biological_process,positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter,"""Any process that activates or increases the frequency, rate or extent of gluconeogenesis by activating or increasing the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:dgf, PMID:17875938]"
cellular_component,axon terminus,"""Terminal inflated portion of the axon, containing the specialized apparatus necessary to release neurotransmitters. The axon terminus is considered to be the whole region of thickening and the terminal button is a specialized region of it."" [GOC:dph, GOC:jl]"
biological_process,double-strand break repair via homologous recombination,"""The error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences. A strand in the broken DNA searches for a homologous region in an intact chromosome to serve as the template for DNA synthesis. The restoration of two intact DNA molecules results in the exchange, reciprocal or nonreciprocal, of genetic material between the intact DNA molecule and the broken DNA molecule."" [GOC:elh, PMID:10357855]"
biological_process,blood vessel remodeling,"""The reorganization or renovation of existing blood vessels."" [GOC:hjd]"
molecular_function,NAD-dependent histone deacetylase activity (H3-K14 specific),"""Catalysis of the reaction: histone H3 N6-acetyl-L-lysine (position 14) + H2O = histone H3 L-lysine (position 14) + acetate. This reaction requires the presence of NAD, and represents the removal of an acetyl group from lysine at position 14 of the histone H3 protein."" [EC:3.5.1.17, RHEA:24548]"
biological_process,oxidation-reduction process,"""A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons."" [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph]"
cellular_component,cell-cell junction,"""A cell junction that forms a connection between two or more cells in a multicellular organism; excludes direct cytoplasmic junctions such as ring canals."" [GOC:dgh, GOC:hb, GOC:mah]"
biological_process,cellular triglyceride homeostasis,"""Any process involved in the maintenance of an internal steady state of triglyceride within a cell or between a cell and its external environment."" [GOC:BHF]"
biological_process,synaptic vesicle endocytosis,"""A vesicle-mediated transport process, in which the synaptic vesicle membrane constituents are retrieved from the presynaptic membrane on the axon terminal after neurotransmitter secretion by exocytosis. Synaptic vesicle endocytosis can occur via clathrin-dependent and clathrin-independent mechanisms."" [GOC:aruk, GOC:bc, GOC:jid, GOC:lmg, GOC:mah, PMID:20448150, PMID:26430111]"
biological_process,release of sequestered calcium ion into cytosol,"""The process in which calcium ions sequestered in the endoplasmic reticulum, Golgi apparatus or mitochondria are released into the cytosolic compartment."" [GOC:dph, GOC:hjd, GOC:mtg_lung, PMID:1814929]"
biological_process,positive regulation of chromatin binding,"""Any process that increases the frequency, rate or extent of chromatin binding. Chromatin binding is the selective interaction with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase."" [GOC:bf, PMID:20404130]"
biological_process,stress-activated protein kinase signaling cascade,"""A series of molecular signals in which a stress-activated protein kinase (SAPK) cascade relays one or more of the signals."" [GOC:mah]"
biological_process,positive regulation of hormone biosynthetic process,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of hormones."" [GOC:ai]"
biological_process,positive regulation of telomeric heterochromatin assembly,"""Any process that activates or increases the frequency, rate or extent of telomeric heterochromatin assembly."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:25819580]"
biological_process,cholesterol biosynthetic process,"""The chemical reactions and pathways resulting in the formation of cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones."" [GOC:ai]"
biological_process,exploration behavior,"""The specific behavior of an organism in response to a novel environment or stimulus."" [GOC:BHF, GOC:pr, PMID:11682103, PMID:9767169]"
biological_process,histone H3-K4 trimethylation,"""The modification of histone H3 by addition of three methyl groups to lysine at position 4 of the histone."" [GOC:BHF, GOC:se, GOC:tb]"
biological_process,inner ear morphogenesis,"""The process in which the anatomical structures of the inner ear are generated and organized. The inner ear is the structure in vertebrates that contains the organs of balance and hearing. It consists of soft hollow sensory structures (the membranous labyrinth) containing fluid (endolymph) surrounded by fluid (perilymph) and encased in a bony cavity (the bony labyrinth). It consists of two chambers, the sacculus and utriculus, from which arise the cochlea and semicircular canals respectively."" [GOC:jl, ISBN:0192801023]"
biological_process,hepatocyte homeostasis,"""Any biological process involved in the maintenance of the steady-state number of hepatocytes within a population of cells. Hepatocytes are specialized epithelial cells of the liver that are organized into interconnected plates called lobules."" [CL:0000182, GOC:nhn, PMID:19878874]"
biological_process,cellular response to cytochalasin B,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytochalasin B stimulus."" [GOC:mah]"
biological_process,synaptonemal complex organization,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a synaptonemal complex. A synaptonemal complex is a proteinaceous scaffold formed between homologous chromosomes during meiosis."" [GOC:mah]"
molecular_function,peptidase activity,"""Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid."" [GOC:jl, ISBN:0815332181]"
molecular_function,"lysine N-acetyltransferase activity, acting on acetyl phosphate as donor","""Catalysis of the reaction: acetyl phosphate + L-lysine = phosphate + N6-acetyl-L-lysine."" [EC:2.3.1.32]"
molecular_function,methylated histone binding,"""Interacting selectively and non-covalently with a histone in which a residue has been modified by methylation. Histones are any of a group of water-soluble proteins found in association with the DNA of eukaroytic chromosomes."" [GOC:bf, PMID:14585615]"
molecular_function,NF-kappaB binding,"""Interacting selectively and non-covalently with NF-kappaB, a transcription factor for eukaryotic RNA polymerase II promoters."" [GOC:ai]"
biological_process,heterochromatin assembly involved in chromatin silencing,"""Any process that results in the assembly of chromatin into heterochromatin and contributes to chromatin silencing."" [GOC:mah]"
biological_process,nucleosome mobilization,"""The movement of nucleosomes along a DNA fragment."" [PMID:12006495]"
biological_process,muscle contraction,"""A process in which force is generated within muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis."" [GOC:ef, GOC:mtg_muscle, ISBN:0198506732]"
biological_process,ventricular system development,"""The process whose specific outcome is the progression of the brain ventricular system over time, from its formation to the mature structure. The brain ventricular system consists of four communicating cavities within the brain that are continuous with the central canal of the spinal cord. These cavities include two lateral ventricles, the third ventricle and the fourth ventricle. Cerebrospinal fluid fills the ventricles and is produced by the choroid plexus."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06, ISBN:0838580343]"
biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
biological_process,inner cell mass cell proliferation,"""The proliferation of cells in the inner cell mass."" [GOC:dph, GOC:isa_complete, ISBN:0124020607, ISBN:0198542771]"
molecular_function,enzyme regulator activity,"""Binds to and modulates the activity of an enzyme."" [GOC:dph, GOC:mah, GOC:tb]"
biological_process,protein demethylation,"""The removal of a methyl group, from a protein amino acid. A methyl group is derived from methane by the removal of a hydrogen atom."" [GOC:mah]"
biological_process,regulation of glycolytic process by negative regulation of transcription from RNA polymerase II promoter,"""Any process that modulates the frequency, rate or extent of glycolysis by stopping, preventing, or reducing the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:BHF, GOC:mah]"
biological_process,negative regulation of neural precursor cell proliferation,"""Any process that stops, prevents, or reduces the frequency, rate or extent of neural precursor cell proliferation."" [GOC:dph, GOC:yaf]"
biological_process,lipoprotein catabolic process,"""The chemical reactions and pathways resulting in the breakdown of any conjugated, water-soluble protein in which the covalently attached nonprotein group consists of a lipid or lipids."" [ISBN:0198506732]"
biological_process,positive regulation of apoptotic process,"""Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]"
molecular_function,"hydrolase activity, acting on ester bonds","""Catalysis of the hydrolysis of any ester bond."" [GOC:jl]"
biological_process,regulation of cellular response to gamma radiation,"""Any process that modulates the frequency, rate or extent of cellular response to gamma radiation."" [GO_REF:0000058, GOC:TermGenie, PMID:23505386]"
biological_process,regulation of cell morphogenesis,"""Any process that modulates the frequency, rate or extent of cell morphogenesis. Cell morphogenesis is the developmental process in which the shape of a cell is generated and organized."" [GOC:isa_complete]"
cellular_component,X chromosome,"""The sex chromosome present in both sexes of species in which the male is the heterogametic sex. Two copies of the X chromosome are present in each somatic cell of females and one copy is present in males."" [GOC:mah, GOC:mr, https://en.wikipedia.org/wiki/XY_sex-determination_system, ISBN:0582227089, PMID:20622855]"
biological_process,positive regulation of cAMP-dependent protein kinase activity,"""Any process that activates or increases the frequency, rate or extent of cAMP-dependent protein kinase activity."" [GOC:obol]"
cellular_component,cyclin/CDK positive transcription elongation factor complex,"""A transcription elongation factor complex that facilitates the transition from abortive to productive elongation by phosphorylating the CTD domain of the large subunit of DNA-directed RNA polymerase II, holoenzyme. Contains a cyclin and a cyclin-dependent protein kinase catalytic subunit."" [GOC:bhm, GOC:vw, PMID:10766736, PMID:16721054, PMID:17079683, PMID:19328067, PMID:7759473]"
biological_process,lens fiber cell development,"""The process whose specific outcome is the progression of a lens fiber cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a lens fiber cell fate. A lens fiber cell is any of the elongated, tightly packed cells that make up the bulk of the mature lens in a camera-type eye."" [GOC:mah, PMID:7693735]"
biological_process,regulation of single strand break repair,"""Any process that modulates the frequency, rate or extent of single strand break repair."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:17395247]"
biological_process,negative regulation of cardiac muscle hypertrophy,"""Any process that decreases the rate, frequency or extent of the enlargement or overgrowth of all or part of the heart due to an increase in size (not length) of individual cardiac muscle fibers, without cell division."" [GOC:BHF, GOC:dph, GOC:tb]"
biological_process,proteasomal protein catabolic process,"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome."" [GOC:tb]"
cellular_component,endoplasmic reticulum lumen,"""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]"
biological_process,positive regulation of sprouting angiogenesis,"""Any process that activates or increases the frequency, rate or extent of sprouting angiogenesis."" [GO_REF:0000058, GOC:TermGenie, PMID:16756958]"
cellular_component,sumoylated E2 ligase complex,"""A protein complex consisting of a SUMO (small ubiquitin-related modifier) protein bound to a SUMO-conjugating E2 ligase. Sumoylation of the E2 ligase is an intermediate step required for the formation of covalent bonds between a SUMO protein and its ultimate protein target. SUMO is transferred to the E2 ligase by a SUMO-activating E1 enzyme. Sumoylation of the target protein is either facilitated directly by the sumoylated E2 ligase or aided by an optional E3 ligase."" [GOC:bhm, PMID:18691969]"
cellular_component,PcG protein complex,"""A chromatin-associated multiprotein complex containing Polycomb Group proteins. In Drosophila, Polycomb group proteins are involved in the long-term maintenance of gene repression, and PcG protein complexes associate with Polycomb group response elements (PREs) in target genes to regulate higher-order chromatin structure."" [PMID:9372908]"
