gene_name,gene_name2,cluster,interation,source_appearance,source_appearance_sqrt
MECP2,SUV39H1,4,pp,13,3.605551275463989
MECP2,PRMT6,4,pp,13,3.605551275463989
BAZ1B,SMARCA5,1,pp,8,2.8284271247461903
PRMT5,SIN3A,4,pp,26,5.0990195135927845
TRIM33,UBE2E1,1,pp,5,2.23606797749979
CHD4,PAF1,5,pp,35,5.916079783099616
KMT2B,WDR5,4,pp,3,1.7320508075688772
CBX7,PCGF5,1,pp,8,2.8284271247461903
CHD1L,TRIM33,5,pp,8,2.8284271247461903
CHD4,SIN3A,5,pp,35,5.916079783099616
CBX5,CHD1L,5,pp,21,4.58257569495584
KMT2D,WDR5,4,pp,3,1.7320508075688772
DNMT3B,SIN3A,5,pp,16,4.0
TRIM24,TRIM33,1,pp,5,2.23606797749979
KMT2A,WDR5,4,pp,20,4.47213595499958
ATRX,MECP2,1,pp,4,2.0
CBX6,PCGF5,5,pp,13,3.605551275463989
CARM1,WDR5,1,pp,12,3.4641016151377544
CBX5,SUV39H1,5,pp,21,4.58257569495584
DNMT3B,SMARCA5,5,pp,16,4.0
CBX5,DNMT3B,5,pp,21,4.58257569495584
CHD4,SMARCA5,5,pp,35,5.916079783099616
KDM4C,PRMT5,5,pp,7,2.6457513110645907
PARP1,TRIM33,5,pp,17,4.123105625617661
CHD4,DNMT3B,5,pp,35,5.916079783099616
CARM1,PARP1,1,pp,12,3.4641016151377544
PRMT6,SUV39H1,4,pp,6,2.449489742783178
CBX5,TRIM24,5,pp,21,4.58257569495584
CBX6,CHAF1B,5,pp,13,3.605551275463989
CHD4,SIRT6,5,pp,35,5.916079783099616
DNMT3B,SUV39H1,5,pp,16,4.0
BPTF,CBX6,1,pp,6,2.449489742783178
CBX5,CHD4,5,pp,21,4.58257569495584
CARM1,PRMT5,1,pp,12,3.4641016151377544
HIRA,MECP2,1,pp,3,1.7320508075688772
CBX5,CHAF1A,5,pp,21,4.58257569495584
KDM3A,PRMT5,4,pp,4,2.0
CHAF1A,PAF1,4,pp,17,4.123105625617661
PRMT5,WDR5,4,pp,26,5.0990195135927845
PCGF5,UBE2E1,5,pp,7,2.6457513110645907
BAZ1B,CHD4,1,pp,8,2.8284271247461903
CHAF1A,SMARCA5,4,pp,17,4.123105625617661
CHAF1A,SIN3A,4,pp,17,4.123105625617661
DNMT3B,PAF1,5,pp,16,4.0
NAP1L1,NAP1L2,4,pp,2,1.4142135623730951
CBX5,MECP2,5,pp,21,4.58257569495584
CHD4,IWS1,5,pp,35,5.916079783099616
PCGF5,PRMT6,5,pp,7,2.6457513110645907
MECP2,SIN3A,4,pp,13,3.605551275463989
CHD1L,PARP1,5,pp,8,2.8284271247461903
CHAF1A,WDR5,4,pp,17,4.123105625617661
CHD4,KMT2A,5,pp,35,5.916079783099616
PRMT5,SIRT6,4,pp,26,5.0990195135927845
CARM1,NCOA3,1,pp,12,3.4641016151377544
CHD4,SUV39H1,5,pp,35,5.916079783099616
CHD4,PARP1,5,pp,35,5.916079783099616
SIRT6,SMARCA5,5,pp,9,3.0
CHAF1A,CHD4,4,pp,17,4.123105625617661
PARP1,PRKAA1,5,pp,17,4.123105625617661
CBX5,CHAF1B,5,pp,21,4.58257569495584
ATRX,CBX5,1,pp,4,2.0
CHAF1A,CHAF1B,4,pp,17,4.123105625617661
PRMT5,PRMT6,4,pp,26,5.0990195135927845
KMT2A,PAF1,4,pp,20,4.47213595499958
PAF1,UBE2E1,4,pp,13,3.605551275463989
KMT2A,SIN3A,4,pp,20,4.47213595499958
SIN3A,SMARCA5,5,pp,25,5.0
