gene_name,gene_name2,cluster,interation,source_appearance,source_appearance_sqrt
SMARCA4,TBX21,6,pp,36,6.0
CHD7,SMARCA4,3,pp,9,3.0
KDM6B,SMARCC1,6,pp,12,3.4641016151377544
KDM4A,SMARCA4,5,pp,7,2.6457513110645907
CHD4,SIN3A,5,pp,35,5.916079783099616
SIN3A,TET2,5,pp,25,5.0
SMARCA4,SMARCC1,6,pp,36,6.0
SMARCD2,SMARCE1,6,pp,8,2.8284271247461903
PHC2,RING1,3,pp,12,3.4641016151377544
PCGF5,RING1,5,pp,7,2.6457513110645907
SIN3A,TAF1,5,pp,25,5.0
BRD4,KDM6B,5,pp,12,3.4641016151377544
CHD4,SMARCC1,5,pp,35,5.916079783099616
SMARCA4,ZMYND8,6,pp,36,6.0
BRD4,KDM2B,5,pp,12,3.4641016151377544
HES1,KDM6B,6,pp,4,2.0
DNMT3B,SIN3A,5,pp,16,4.0
HCFC1,SIRT7,6,pp,15,3.872983346207417
HCFC1,RPA3,6,pp,15,3.872983346207417
EPC1,H2AFZ,5,pp,4,2.0
CBX6,PCGF5,5,pp,13,3.605551275463989
KDM6B,SMARCA4,6,pp,12,3.4641016151377544
DNMT3B,SMARCA5,5,pp,16,4.0
CBX6,PHC1,5,pp,13,3.605551275463989
SIN3A,SMARCE1,5,pp,25,5.0
BRD4,SIRT5,5,pp,12,3.4641016151377544
CHD4,SMARCA5,5,pp,35,5.916079783099616
INO80,SMARCA5,3,pp,2,1.4142135623730951
CHD4,DNMT3B,5,pp,35,5.916079783099616
PCGF5,PHC2,5,pp,7,2.6457513110645907
SIN3A,SMARCC1,5,pp,25,5.0
CHD1L,H2AFZ,5,pp,8,2.8284271247461903
BRD4,SMARCA4,5,pp,12,3.4641016151377544
CBX6,CHAF1B,5,pp,13,3.605551275463989
CHD4,SIRT6,5,pp,35,5.916079783099616
ARID1B,SMARCE1,3,pp,12,3.4641016151377544
BCL6,SIN3A,3,pp,11,3.3166247903554
CHD4,PHF20L1,5,pp,35,5.916079783099616
SIRT7,SMARCC1,3,pp,20,4.47213595499958
ARID1B,SMARCA4,3,pp,12,3.4641016151377544
BCL6,ERCC5,3,pp,11,3.3166247903554
CHD4,RPA3,5,pp,35,5.916079783099616
SIN3A,SMARCA4,5,pp,25,5.0
ID2,SIN3A,6,pp,6,2.449489742783178
KDM2B,SIN3A,6,pp,7,2.6457513110645907
BRD4,CHD4,5,pp,12,3.4641016151377544
POLR2B,ZMYND8,5,pp,5,2.23606797749979
SMARCA5,SMARCC1,5,pp,16,4.0
PHC1,RING1,6,pp,10,3.1622776601683795
CHD4,SMARCE1,5,pp,35,5.916079783099616
NSD1,SIRT7,6,pp,4,2.0
SMARCC1,SMARCE1,6,pp,24,4.898979485566356
PHF8,TAF1,6,pp,5,2.23606797749979
CBX6,RING1,5,pp,13,3.605551275463989
SMARCA4,SMARCE1,6,pp,36,6.0
CHD4,CHD5,5,pp,35,5.916079783099616
SMARCA4,SMARCD2,6,pp,36,6.0
CHD7,SIRT7,3,pp,9,3.0
CHD4,ZMYND8,5,pp,35,5.916079783099616
RPA3,SMARCA5,6,pp,7,2.6457513110645907
CHD7,SMARCE1,3,pp,9,3.0
BCL6,ZMYND8,3,pp,11,3.3166247903554
CHD7,SMARCC1,3,pp,9,3.0
HCFC1,SIN3A,6,pp,15,3.872983346207417
SMARCC1,SMARCD2,6,pp,24,4.898979485566356
SIRT6,SMARCA5,5,pp,9,3.0
BCL6,TBX21,3,pp,11,3.3166247903554
CHD4,H2AFZ,5,pp,35,5.916079783099616
CHD4,SIRT7,5,pp,35,5.916079783099616
CHD1L,RPA3,5,pp,8,2.8284271247461903
SMARCA1,SMARCA5,6,pp,7,2.6457513110645907
ARID1B,SMARCD2,3,pp,12,3.4641016151377544
CBX6,PHC2,5,pp,13,3.605551275463989
ARID1B,SMARCA1,3,pp,12,3.4641016151377544
ARID1B,KDM4A,3,pp,12,3.4641016151377544
BCL6,SMARCA4,3,pp,11,3.3166247903554
KDM2B,RING1,6,pp,7,2.6457513110645907
CHD4,SMARCA4,5,pp,35,5.916079783099616
HCFC1,PHF8,6,pp,15,3.872983346207417
ARID1B,SMARCC1,3,pp,12,3.4641016151377544
SMARCA1,SMARCA4,6,pp,7,2.6457513110645907
PHC1,PHC2,6,pp,10,3.1622776601683795
SIRT7,SMARCA4,3,pp,20,4.47213595499958
EPC1,PHC2,5,pp,4,2.0
SMARCA1,SMARCC1,6,pp,7,2.6457513110645907
SIN3A,SMARCA5,5,pp,25,5.0
