Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,Satb1.3,743.5255298,847.0961261,40.75498078,61.58685774,223.715975,297.5256357,855.2658832
B06,Setd7.2,565.1533671,920.1941653,52.11881188,64.59405941,297.1762681,241.1860043,1176.473757
B09,Smarcd2.3,670.0566198,754.3814903,47.92163092,60.60365369,145.6885419,318.1108598,893.3687194
B10,Setd3.1,620.4501157,926.3294186,41.99950385,54.00645001,111.6134375,177.4924385,668.170246
C03,Smarca2.3,522.6985024,632.8211553,41.06109325,56.20578778,168.3301678,185.657774,698.5951068
C04,Scmh1.1,435.6241934,827.3624461,43.83989994,59.7873671,202.9566,210.5366962,843.6187119
C08,Sirt2,757.3153047,1215.084125,33.33333333,58.33333333,227.4477521,306.1127488,659.7985635
C11,Ube2a.1,614.0416007,653.5394313,35.18446602,49.53398058,116.0890478,129.1959791,510.2655486
D02,Setd3.2,412.6967795,798.6145663,47.92828685,60.51792829,232.3225442,260.4410279,867.2635383
D05,Smarcc1.2,608.8741162,1058.487868,44.04840484,60.74807481,311.1279951,270.2857156,834.7123948
D06,Smarcb1.1,1721.80207,1244.28857,51.85185185,55.55555556,175.2450124,233.5316605,484.1284726
D09,Smyd1.1,636.4321352,981.7986735,44.09537619,56.27517319,247.5075042,187.250533,628.4273951
D10,Scmh1.2,604.9701841,954.9678351,50.2748931,54.58155162,215.6641738,202.9551497,603.5811286
E02,Ube2a.2,477.113234,925.1892277,46.66666667,43.33333333,182.6106921,162.4076505,278.2721847
E04,Scmh1.3,481.4372165,935.2457188,45.46001203,57.62677891,235.4777619,220.5626847,630.7072805
E07,Smarcc1.3,704.6678979,1047.164118,49.20634921,52.38095238,210.9648181,377.3773447,510.6603595
E08,Setd3.3,586.3071878,828.272869,49.84358707,55.8915537,180.8662658,188.9591945,742.0754293
E11,Smyd1.2,449.4810247,929.1326181,33.00627943,57.26059655,106.3646529,165.3080973,881.7841096
F02,Smarca2.1,454.6630253,728.6355552,41.87850065,48.27660491,134.2362964,148.9621416,427.7462543
F05,Smarcd2.1,359.6420143,1179.568688,65.95744681,68.08510638,418.9394331,444.9884507,1021.631257
F06,Smarcb1.2,289.9274371,645.0987032,41.28664495,49.71498371,147.1575386,160.3704287,469.29722
F10,Smarcc1.1,380.1226958,664.6397695,41.95652174,51.95652174,127.9096757,174.7737754,509.8355434
G04,Setd7.1,573.7492796,805.4048376,38.79043601,51.1954993,111.852637,175.6202647,551.9375577
G07,Smarcd2.2,641.4286959,915.9611133,52.14793741,57.09815078,183.777629,214.0160541,770.4993637
G08,Smarca2.2,603.2479778,657.706151,48.46322722,52.7442371,113.4622978,139.5138717,604.138888
G10,Smyd1.3,388.9312429,638.5988739,47.36323312,57.88565796,183.7573515,152.7099978,835.03239
