Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,Smyd4.1,748.1654753,838.8196762,32.94152219,53.74669409,100.4688305,142.3333924,645.2047677
B03,Suv39h2.1,525.0735809,830.1046215,38.91036907,59.82425308,197.318739,167.4535615,903.4499025
B04,Suv420h1.1,944.5420329,929.8522579,29.43722944,49.03581267,160.1033674,142.741403,479.4228284
B05,Suv39h1.1,661.2857257,816.5385091,32.33364574,59.23149016,140.4319315,154.7671839,806.2335826
B06,Sp100.1,648.584935,821.9640928,29.85507246,55.07246377,97.36462906,128.3828125,630.8851105
B07,Tcea1.1,974.6109991,743.5899741,34.91495076,57.34109221,102.4081773,132.1668203,824.9356292
B08,Suz12.1,818.9870934,1322.496308,29.90033223,55.21594684,298.7600592,147.1962312,805.0890536
B09,Ssrp1.1,534.2284861,1041.487511,26.57226156,59.6001666,117.1946937,153.6183161,906.0577564
B10,Smyd5.1,534.336318,727.4791998,33.19423369,58.80121396,110.7333953,154.9390219,917.0359608
B11,Taf1.1,1081.651637,646.8805276,27.63001191,57.28463676,106.8128446,126.9049,806.3649415
C02,Suz12.2,540.5388859,886.5146222,39.97879109,57.82962177,271.5663091,219.6051741,828.6134464
C03,Sp110.1,459.675668,886.1187357,31.80100756,49.93702771,150.8024387,191.0112194,541.0379422
C04,Smyd4.2,458.7849481,855.0813897,38.16934846,57.0561857,137.0493725,190.9206384,787.3028195
C05,Taf1.2,347.6737043,589.1767183,36.49506347,52.92665726,151.7335341,133.9337962,512.8265375
C06,Suv420h2.1,1041.328839,1048.124509,45.84599797,55.97771023,187.1428842,193.0922867,763.2372973
C07,Suv420h1.2,521.0137219,900.0026158,36.37525562,60.76175869,175.0783498,232.2260226,950.3635331
C08,Sp100.2,529.6521598,895.0933618,38.70879869,54.88967584,489.3356276,223.3211968,641.0242949
C09,Taf3.1,467.3368521,553.9428175,38.12080537,52.51677852,179.4790203,137.345023,586.4884846
C10,Suv39h2.2,419.1901565,1020.253553,45.61503417,58.3143508,205.6810481,194.1968199,740.8611354
C11,Supt16h.1,660.8810042,746.1774741,38.95417156,46.32784959,106.8274323,151.4419624,502.5665115
D02,Smyd5.2,1164.578218,1207.807308,43.27956989,50.64516129,135.0507401,200.0823027,649.1627485
D03,Taf3.2,686.5817174,867.8697093,41.36604137,58.05675806,182.3970387,181.9474251,839.7571498
D04,Suv39h2.3,321.4901196,1149.507833,38.95781638,54.25971878,345.9554572,318.8165491,638.9517992
D05,Sp140.1,488.5504149,871.7907341,41.79216867,57.42971888,172.4171981,200.3899267,757.3136501
D06,Sp110.2,422.7147032,980.2259334,33.86773547,54.62925852,256.3852897,187.493456,676.7218884
D07,Taf3.3,684.6326682,610.9295746,34.21962244,50.89072055,126.0579505,125.6523325,542.9085104
D08,Suv420h2.2,464.8346011,998.5771683,37.15580342,58.10386894,251.7332566,170.4708222,763.388558
D09,Ssrp1.2,868.6199854,658.584614,32.72233537,46.02851324,69.21553133,126.7566932,482.730422
D10,Smyd4.3,687.7975081,753.2360598,28.50336323,46.66479821,60.6375059,112.4968985,420.6777375
D11,Tcea1.2,446.1452184,635.6353464,37.79310345,56.44827586,123.447577,119.7166304,730.7394508
E02,Supt16h.2,2145.256231,1048.184783,41.27516779,46.6442953,67.75227531,173.1918655,544.4188861
E03,Suv39h1.2,577.3142766,1197.684328,47.78472411,57.65153574,203.1902695,197.1812309,762.1252755
