gene_name,complexNames
ACTL6A,BAF
ARID1A,BAF
ARID1B,BAF
ARID2,BAF
BRD7,BAF
BRD9,BAF
PBRM1,BAF
PHF10,BAF
SMARCA2,BAF
SMARCA4,BAF
SMARCB1,BAF
SMARCC1,BAF
SMARCC2,BAF
SMARCD1,BAF
SMARCD2,BAF
SMARCD3,BAF
SMARCE1,BAF
CBX3,E2F6_COM-1
EHMT1,E2F6_COM-1
EHMT2,E2F6_COM-1
L3MBTL2,E2F6_COM-1
SSRP1,FACT
SUPT16H,FACT
ING4,HBO1
ING5,HBO1
KAT7,HBO1
PHF17,HBO1
CHD3,HDAC
CHD4,HDAC
CHD5,HDAC
HDAC1,HDAC
HDAC2,HDAC
KDM1A,HDAC
MBD2,HDAC
MBD3,HDAC
MTA1,HDAC
MTA2,HDAC
MTA3,HDAC
RBBP4,HDAC
RBBP7,HDAC
SIN3A,HDAC
SIN3B,HDAC
BAZ1B,ISWI
BAZ2A,ISWI
BPTF,ISWI
SMARCA1,ISWI
SMARCA5,ISWI
BRD1,MOZ-MORF
BRPF1,MOZ-MORF
BRPF3,MOZ-MORF
KAT6A,MOZ-MORF
KAT6B,MOZ-MORF
BRD8,NU4A
DMAP1,NU4A
EP400,NU4A
MORF4L1,NU4A
BMI1,PRC1
CBX2,PRC1
CBX4,PRC1
CBX6,PRC1
CBX8,PRC1
KDM2B,PRC1
PCGF1,PRC1
PCGF2,PRC1
PCGF5,PRC1
PCGF6,PRC1
PHC1,PRC1
PHC2,PRC1
PHC3,PRC1
RING1,PRC1
RNF2,PRC1
SCMH1,PRC1
SCML2,PRC1
EED,PRC2
EZH1,PRC2
EZH2,PRC2
JARID2,PRC2
MTF2,PRC2
PHF1,PRC2
PHF19,PRC2
SUZ12,PRC2
KAT2A,SAGA
KAT2B,SAGA
USP22,SAGA
USP27X,SAGA
USP51,SAGA
AFF1,SEC
AFF4,SEC
JMJD6,SEC
ASH2L,SET-MLL
CXXC1,SET-MLL
DPY30,SET-MLL
HCFC1,SET-MLL
KAT8,SET-MLL
KDM6A,SET-MLL
MEN1,SET-MLL
MLL2,SET-MLL
MLL3,SET-MLL
PAXIP1,SET-MLL
PHF20,SET-MLL
RBBP5,SET-MLL
SETD1A,SET-MLL
WDR5,SET-MLL
WDR82,SET-MLL
ACTB,
ATRX,
BOP1,
BRCA1,
BRD2,
BRD4,
CARM1,
CBX1,
CBX5,
CBX7,
CHAF1A,CAF1
CHAF1B,CAF1
CHD1,
CHD2,
CHD8,
DOT1L,
ELP3,
FBXL19,
FKBP5,
GTF2F1,
GTF2H1,
GTF3C4,
H2AFZ,
HAT1,
HDAC6,
HIRA,
HLTF,
INO80,
JHDM1D,
JMJD4,
KDM2A,
KDM3A,
KDM3B,
KDM4A,
KDM4B,
KDM4C,
KDM4D,
KDM5A,
KDM5B,
KDM5C,
KDM6B,
KDM8,
L3MBTL1,L3MBTL
L3MBTL3,L3MBTL
L3MBTL4,L3MBTL
MBD1,
MBD4,
MECOM,
MECP2,
MSL3,
NAP1L1,
NCOR1,
NSD1,
PADI4,
PAF1,
PARP1,
PCMT1,
PHF20L1,
PHF8,
POLR2B,
PRDM1,
PRDM11,
PRDM13,
PRDM16,
PRDM2,
PRDM4,
PRDM5,
PRDM9,
PRKAA2,
PRMT1,
PRMT2,
PRMT3,
PRMT5,
PRMT8,
PSIP1,
RNF40,
RPA3,
SATB1,
SETD4,
SETD7,
SETD8,
SETDB1,
SETMAR,
SFMBT1,
SFMBT2,
SIRT1,
SIRT2,
SMYD1,
SMYD2,
SMYD3,
SMYD4,
SMYD5,
SP100,
SP110,
SUV39H1,
SUV420H1,
SUV420H2,
TRIM24,
TRIM28,
TRIM33,
UBE2A,
WHSC1,
WHSC1L1,
ZMYND11,
ZMYND8,
