gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
MECOM,SIRT1,pp,12,3.4641016151377544
GTF2F1,TAF1,pp,10,3.1622776601683795
CHD7,SMARCA4,pp,18,4.242640687119285
HDAC1,KDM5B,pp,91,9.539392014169456
PBRM1,SMARCC1,pp,24,4.898979485566356
AURKB,UBE2I,pp,12,3.4641016151377544
HDAC2,MBD2,pp,78,8.831760866327848
HDAC1,HDAC5,pp,91,9.539392014169456
EAF1,GTF2F1,pp,4,2.0
SIRT1,SIRT7,pp,38,6.164414002968976
GTF2F1,GTF2H1,pp,10,3.1622776601683795
SMARCA4,SMARCC1,pp,60,7.745966692414834
SMARCD2,SMARCE1,pp,20,4.47213595499958
HDAC2,SIRT1,pp,78,8.831760866327848
AURKB,HDAC5,pp,12,3.4641016151377544
HDAC5,KDM5B,pp,25,5.0
PHC2,RING1,pp,23,4.795831523312719
ATAD2,SIRT7,pp,4,2.0
AFF4,EAF1,pp,3,1.7320508075688772
HDAC2,SIRT7,pp,78,8.831760866327848
ERCC5,GTF2H1,pp,2,1.4142135623730951
MBD2,MTA3,pp,22,4.69041575982343
ING5,SMARCE1,pp,10,3.1622776601683795
HDAC5,UBE2I,pp,25,5.0
ATAD2B,SIRT7,pp,1,1.0
BRPF1,ING5,pp,6,2.449489742783178
SMARCD1,SMARCE1,pp,30,5.477225575051661
SMARCA4,ZMYND8,pp,60,7.745966692414834
HDAC1,MTA3,pp,91,9.539392014169456
HDAC2,ZMYND8,pp,78,8.831760866327848
BRPF1,GTF2H1,pp,6,2.449489742783178
RPA3,UBE2A,pp,14,3.7416573867739413
HDAC5,NCOR2,pp,25,5.0
DMAP1,ING3,pp,18,4.242640687119285
EP400,SMARCA4,pp,23,4.795831523312719
BRD9,SMARCA4,pp,9,3.0
NCOR1,SMARCC1,pp,34,5.830951894845301
HDAC2,NCOR2,pp,78,8.831760866327848
HDAC2,SMARCE1,pp,78,8.831760866327848
PBRM1,SMARCE1,pp,24,4.898979485566356
SMARCC1,SMARCD1,pp,45,6.708203932499369
KDM5B,NCOR1,pp,23,4.795831523312719
BAZ2A,HDAC1,pp,8,2.8284271247461903
NCOR2,SMARCA4,pp,16,4.0
KDM5B,MBD2,pp,23,4.795831523312719
PCGF2,PHC2,pp,15,3.872983346207417
KDM5B,MTA3,pp,23,4.795831523312719
BOP1,SIRT7,pp,4,2.0
PBRM1,SMARCA4,pp,24,4.898979485566356
DMAP1,EPC2,pp,18,4.242640687119285
AURKB,SMARCC1,pp,12,3.4641016151377544
DMAP1,HDAC1,pp,18,4.242640687119285
CHD5,MTA3,pp,13,3.605551275463989
NCOR2,SIRT1,pp,16,4.0
HLTF,RPA3,pp,4,2.0
NCOR1,SIRT1,pp,34,5.830951894845301
CHD5,MBD2,pp,13,3.605551275463989
SMARCA4,SMARCD1,pp,60,7.745966692414834
SIRT7,SMARCC1,pp,32,5.656854249492381
EPC2,ING3,pp,9,3.0
NCOR1,UBE2I,pp,34,5.830951894845301
PBRM1,SMARCD1,pp,24,4.898979485566356
HLTF,UBE2A,pp,4,2.0
SMARCD1,SMARCD2,pp,30,5.477225575051661
SIRT1,UBE2I,pp,38,6.164414002968976
CHD5,HDAC2,pp,13,3.605551275463989
HDAC1,HDAC2,pp,91,9.539392014169456
EP400,PBRM1,pp,23,4.795831523312719
PBRM1,SIRT7,pp,24,4.898979485566356
HDAC2,KDM5B,pp,78,8.831760866327848
EP400,HDAC1,pp,23,4.795831523312719
SMARCC1,SMARCE1,pp,45,6.708203932499369
MECOM,UBE2I,pp,12,3.4641016151377544
SIRT1,SMARCD2,pp,38,6.164414002968976
NCOR1,SMARCD1,pp,34,5.830951894845301
HDAC1,SMARCE1,pp,91,9.539392014169456
DMAP1,EP400,pp,18,4.242640687119285
EP400,EPC2,pp,23,4.795831523312719
ELP3,SMARCD2,pp,12,3.4641016151377544
HDAC1,UBE2I,pp,91,9.539392014169456
HDAC5,NCOR1,pp,25,5.0
BRD9,UBE2A,pp,9,3.0
SMARCA4,SMARCE1,pp,60,7.745966692414834
ASH2L,CHD7,pp,27,5.196152422706632
SSRP1,UBE2I,pp,17,4.123105625617661
HDAC1,SMARCC1,pp,91,9.539392014169456
HDAC1,ZMYND8,pp,91,9.539392014169456
NCOR1,SMARCA4,pp,34,5.830951894845301
SMARCA4,SMARCD2,pp,60,7.745966692414834
CHD7,SIRT7,pp,18,4.242640687119285
NCOR1,NCOR2,pp,34,5.830951894845301
HDAC2,SMARCA4,pp,78,8.831760866327848
HDAC1,RING1,pp,91,9.539392014169456
MTA3,ZMYND8,pp,22,4.69041575982343
CHD7,SMARCE1,pp,18,4.242640687119285
HDAC10,HDAC2,pp,5,2.23606797749979
HDAC1,NCOR2,pp,91,9.539392014169456
NCOR2,UBE2I,pp,16,4.0
MBD2,ZMYND8,pp,22,4.69041575982343
CHD7,SMARCC1,pp,18,4.242640687119285
TAF1,UBE2I,pp,10,3.1622776601683795
SMARCC1,SMARCD2,pp,45,6.708203932499369
KDM5B,PRDM13,pp,23,4.795831523312719
BRD3,DMAP1,pp,6,2.449489742783178
EP400,HDAC2,pp,23,4.795831523312719
KDM4B,SMARCA4,pp,9,3.0
HDAC10,NCOR2,pp,5,2.23606797749979
CHD5,HDAC1,pp,13,3.605551275463989
HDAC1,MBD2,pp,91,9.539392014169456
BAZ2A,SIRT7,pp,8,2.8284271247461903
PCGF2,UBE2I,pp,15,3.872983346207417
EP400,ING3,pp,23,4.795831523312719
L3MBTL1,MECOM,pp,9,3.0
KDM4B,PBRM1,pp,9,3.0
ASH2L,KDM4B,pp,27,5.196152422706632
HDAC1,SMARCA4,pp,91,9.539392014169456
BRD9,SMARCD1,pp,9,3.0
HDAC2,PHC2,pp,78,8.831760866327848
CHD7,PBRM1,pp,18,4.242640687119285
SMARCA1,SMARCA4,pp,14,3.7416573867739413
PCGF2,RING1,pp,15,3.872983346207417
SIRT7,SMARCA4,pp,32,5.656854249492381
SMARCA1,SMARCC1,pp,14,3.7416573867739413
HDAC1,MECOM,pp,91,9.539392014169456
HDAC2,MTA3,pp,78,8.831760866327848
HDAC1,SMARCD1,pp,91,9.539392014169456
NCOR1,SMARCE1,pp,34,5.830951894845301
