type,shRNA,count
target,Psip1.2,480257
target,Rbbp7.3,345971
target,Prmt8.4,262972
target,Morf4l1.2,233414
target,Mll3.2,227982
target,Pcgf6.3,226217
target,Kdm5a.2,220008
target,Mll2.1,209983
target,Rbbp5.4,206839
target,Phf19.3,191262
target,Phf8.2,183283
target,Prmt5.2,173654
target,Kdm4c.1,159129
target,Kdm1a.3,146367
target,L3mbtl1.3,135374
target,Pcmt1.4,122124
target,Ppargc1a.4,120616
target,Mbd3.2,109763
target,Kdm5c.2,107103
target,Kdm5c.1,99624
target,Rbbp7.1,98592
target,Mta3.1,92689
target,Kdm1b.1,91428
target,Prdm6.4,87716
target,Prkcd.3,85851
target,Pbrm1.2,84493
target,Nap1l3.1,79503
target,Myst1.2,77733
target,Mbd4.1,76704
target,Parp1.3,76673
target,Ncoa1.1,74292
target,Rbbp4.3,72909
target,Mta2.2,68380
target,Mbd2.3,68333
target,Mll2.2,66780
target,Nap1l1.4,66099
target,Padi6.4,64179
target,L3mbtl1.4,62751
target,Nap1l3.3,62340
target,Kat2b.2,61360
target,Mta1.4,60466
target,Prdm9.4,60405
target,Kdm5a.1,59089
target,Kdm4d.1,58709
target,Kat5.4,57837
target,Prmt3.4,56847
target,Prdm5.1,56762
target,Jmjd6.2,56466
target,Kdm3a.3,56034
target,Prmt2.4,55593
target,Kat5.2,53084
target,Morf4l1.4,52440
target,Ncor1.1,51829
target,Phc1.1,50959
target,Ncor1.4,50154
target,Paxip1.4,48746
target,Rbbp5.3,48358
target,Mta2.1,46447
target,Nap1l2.1,45656
target,Mll1.3,44590
target,Mtf2.2,43361
target,Jmjd5.3,43263
target,Prmt6.3,41718
target,Prkaa2.3,39461
target,Prmt5.3,39295
target,Phf20l1.4,38956
target,Prdm15.4,38548
target,Ncoa1.2,37437
target,Myst4.1,37313
target,Mll1.2,36811
target,Kdm4d.4,36218
target,Kat2a.3,35667
target,Kat2b.3,35436
target,Morf4l1.3,35157
target,Nap1l2.4,34736
target,Mll5.1,34654
target,Phf2.3,33967
target,Padi1.1,33881
target,Myst3.2,33576
target,Kdm4a.1,33357
target,Prdm10.2,31180
target,Prdm8.1,28997
target,Ppargc1a.3,28076
target,Kdm5b.3,28008
target,Mll5.4,27907
target,Mbd1.1,27655
target,Phip.1,26476
target,Msl3.3,26292
target,Kdm5d.1,26288
target,Phc1.2,25856
target,Prkaa2.1,24576
target,Kdm5d.3,23680
target,Phf20.2,23597
target,Kdm4c.3,23175
target,Kdm4c.2,23171
target,Kdm3a.4,22319
target,Nap1l3.2,22277
target,Kdm2a.2,22264
target,Pcmt1.3,22222
target,Pcgf6.2,22006
target,Kdm4a.3,21765
target,Mbd4.3,21463
target,Prkcd.1,21363
target,Phf2.2,20968
target,Mtf2.1,20934
target,Rbbp7.4,20843
target,L3mbtl3.4,20819
target,Pcgf6.4,20738
target,Psip1.1,20645
target,Prmt2.3,20565
target,Rbbp5.2,20358
target,Rbbp7.2,20315
target,Mll5.2,19987
target,Ncoa3.2,19925
target,Mta2.4,19839
target,Prdm5.4,19823
target,Kdm6a.2,19760
target,Msl3.4,19666
target,L3mbtl4.2,19642
target,Prdm12.3,19124
target,Prdm8.4,18633
target,Mbd4.2,18351
target,Kdm3a.2,18350
target,Psip1.3,18301
target,Parp1.1,18243
target,Phf19.1,17967
target,Ppargc1a.2,17957
target,Rnf217.1,17872
target,Prdm10.1,17656
target,Mll2.4,17484
target,Phf20.4,17214
target,Prmt5.1,17048
target,Phf20.3,16704
target,Kdm1a.2,16476
target,Prdm15.3,16246
target,Ring1.3,16234
target,Prdm11.3,16076
target,Polr2b.3,16041
target,Myst1.3,15824
target,Prkaa2.2,15823
target,Ncoa1.3,15634
target,Prdm4.3,15494
target,Prmt7.4,15319
target,Prdm15.2,14713
target,L3mbtl3.1,14376
target,Rbbp4.1,13854
target,Mta1.2,13786
target,Rnf217.2,13771
target,Prdm9.1,13648
target,Rnf20.1,13285
target,Prdm1.2,13200
target,Ncoa3.4,12777
target,Mll3.4,12692
target,L3mbtl4.1,12436
target,Phf8.1,12305
target,Rnf40.3,12253
target,Kdm1a.4,12223
target,Pcmt1.1,12222
target,Kdm5b.2,11989
target,Phip.2,11819
target,Prdm1.4,11220
target,Rnf217.4,11190
target,Nap1l3.4,10943
target,Kdm2a.3,10876
target,Pcgf1.1,10814
target,Ncor2.1,10799
target,Orc1.2,10402
target,Kdm3a.1,10346
target,Prmt6.4,10175
target,Mbd2.2,10082
target,Rnf20.3,9749
target,Mll5.3,9704
target,Kdm1b.2,9632
target,Psip1.4,9408
target,Prmt3.1,9357
target,Padi4.3,8894
target,Jmjd6.1,8865
target,Kdm1a.1,8781
target,Rnf20.4,8732
target,Jmjd5.4,8639
target,Kdm6a.1,8437
target,Padi1.4,8324
target,Pcgf5.1,8284
target,Myst4.3,8246
target,Prdm2.4,8244
target,Orc1.1,8087
target,Padi6.1,8036
target,Nap1l1.3,7957
target,Kdm4d.2,7935
target,Phf20l1.1,7871
target,Kdm6a.4,7772
target,Pcgf1.3,7460
target,Kat5.1,7336
target,Prmt3.3,7313
target,Prdm1.1,7182
target,Prkaa1.3,7084
target,Ncor2.2,7030
target,Mll3.3,7022
target,Prdm2.3,7016
target,Prdm10.4,6878
target,Prmt2.2,6830
target,Mbd4.4,6761
target,Padi4.4,6707
target,Kat2b.4,6664
target,Paxip1.1,6638
target,Kdm5c.4,6598
target,Prmt7.3,6450
target,Kdm2b.2,6263
target,Jmjd6.3,6183
target,Phf1.1,6127
target,Myst3.3,6047
target,Pcgf1.2,5833
target,Mtf2.4,5831
target,Prmt1.3,5816
target,Ncor2.3,5801
target,Ncoa3.1,5673
target,L3mbtl2.1,5672
target,Prmt6.2,5532
target,Ncor2.4,5436
target,Kdm3b.2,5416
target,Prmt1.2,5410
target,Mta1.3,5282
target,Prdm4.2,5218
target,Prdm11.4,5206
target,Prdm12.2,5115
target,Prmt2.1,5099
target,Mecom.2,5062
target,Myst1.1,5005
target,Prmt8.2,4994
target,L3mbtl2.3,4932
target,Orc1.3,4915
target,Mbd1.4,4888
target,Myst4.4,4862
target,Rbbp4.2,4807
target,Prdm10.3,4788
target,Nap1l1.1,4767
target,Kdm5b.4,4748
target,Kdm3b.3,4747
target,Padi4.2,4746
target,Prmt7.1,4657
target,Prmt6.1,4624
target,Kdm6b.3,4612
target,Nap1l2.3,4491
target,Mtf2.3,4367
target,Kdm1b.3,4352
target,Kdm6b.2,4346
target,Nap1l1.2,4240
target,Polr2b.4,4106
target,Ppargc1a.1,4087
target,Phip.4,3923
target,Prmt1.4,3850
target,Kdm5a.4,3652
target,Prdm4.4,3597
target,Prdm12.1,3479
target,Phf20l1.3,3375
target,L3mbtl1.2,3312
target,Ncor1.3,3249
target,Rnf40.1,3232
target,Kdm5d.2,3117
target,Kdm5a.3,2968
target,Kdm2a.4,2920
target,Phf19.4,2889
target,Pbrm1.4,2887
target,Kdm4a.4,2887
