gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
EP300,SATB1,pp,58,7.615773105863909
ACTB,CARM1,pp,18,4.242640687119285
DNMT3B,MBD4,pp,33,5.744562646538029
CHD9,PRKCD,pp,2,1.4142135623730951
ATM,DNMT1,pp,23,4.795831523312719
L3MBTL2,RBBP7,pp,27,5.196152422706632
BRCA1,CBX5,pp,56,7.483314773547883
HDAC2,TET2,pp,78,8.831760866327848
EP300,ING5,pp,58,7.615773105863909
CLOCK,KAT2B,pp,8,2.8284271247461903
ASH2L,CHD8,pp,27,5.196152422706632
BRCA1,PCMT1,pp,56,7.483314773547883
PAXIP1,WDR5,pp,16,4.0
GTF2B,NAP1L1,pp,8,2.8284271247461903
BRCA1,UBE2I,pp,56,7.483314773547883
BRCA1,ERCC5,pp,56,7.483314773547883
CBX4,KDM2B,pp,26,5.0990195135927845
EPC2,MORF4L1,pp,9,3.0
PCGF1,PCMT1,pp,20,4.47213595499958
CARM1,EED,pp,24,4.898979485566356
RBBP5,SMARCD1,pp,29,5.385164807134504
BAZ1B,SMARCA5,pp,15,3.872983346207417
BRCA1,PARP1,pp,56,7.483314773547883
CBX4,EED,pp,26,5.0990195135927845
CBX1,CBX3,pp,28,5.291502622129181
BRCA1,GTF3C4,pp,56,7.483314773547883
PBRM1,SMARCA2,pp,24,4.898979485566356
CBX7,PHC3,pp,14,3.7416573867739413
KDM5B,RBBP7,pp,23,4.795831523312719
CBX7,SUV39H2,pp,14,3.7416573867739413
CHD3,CHD5,pp,51,7.14142842854285
HDAC2,TET1,pp,78,8.831760866327848
BAZ1B,SMARCC2,pp,15,3.872983346207417
EZH2,HDAC8,pp,105,10.246950765959598
BRCA1,NCOA3,pp,56,7.483314773547883
BRDT,SMARCE1,pp,2,1.4142135623730951
KDM4A,NCOR1,pp,9,3.0
PBRM1,SUZ12,pp,24,4.898979485566356
CBX6,ELP4,pp,16,4.0
BRD3,BRD4,pp,6,2.449489742783178
BAZ1B,SMARCA4,pp,15,3.872983346207417
HDAC1,PCGF6,pp,91,9.539392014169456
EP400,KDM1A,pp,23,4.795831523312719
ATRX,SETDB1,pp,11,3.3166247903554
TRIM33,UBE2E1,pp,10,3.1622776601683795
KAT5,PSIP1,pp,30,5.477225575051661
USP22,USP27X,pp,6,2.449489742783178
HDAC2,SMYD1,pp,78,8.831760866327848
BAZ1A,MECP2,pp,13,3.605551275463989
BRCA1,HDAC2,pp,56,7.483314773547883
ELP3,PCGF1,pp,12,3.4641016151377544
BRPF1,ING4,pp,6,2.449489742783178
CBX1,PCGF6,pp,28,5.291502622129181
BRCA1,WDR5,pp,56,7.483314773547883
GADD45A,ING4,pp,6,2.449489742783178
PBRM1,SMARCC1,pp,24,4.898979485566356
BMI1,HDAC2,pp,57,7.54983443527075
RBBP5,SMARCC1,pp,29,5.385164807134504
EP400,HCFC1,pp,23,4.795831523312719
BRWD1,SMARCA4,pp,1,1.0
BAZ1B,EED,pp,15,3.872983346207417
CBX4,PCGF2,pp,26,5.0990195135927845
DNMT3L,EHMT2,pp,7,2.6457513110645907
HCFC1,RBBP5,pp,32,5.656854249492381
KMT2D,PAXIP1,pp,15,3.872983346207417
CBX8,PAXIP1,pp,26,5.0990195135927845
EHMT2,JARID2,pp,35,5.916079783099616
EPC2,EZH2,pp,9,3.0
DOT1L,SIRT1,pp,5,2.23606797749979
CHD5,MTA2,pp,13,3.605551275463989
BAZ1A,BAZ1B,pp,13,3.605551275463989
CECR2,SUZ12,pp,3,1.7320508075688772
HDAC3,HDAC7,pp,31,5.5677643628300215
ASH2L,KMT2C,pp,27,5.196152422706632
HDAC5,RBBP7,pp,25,5.0
MORF4L1,SIN3A,pp,24,4.898979485566356
CBX1,HDAC2,pp,28,5.291502622129181
EZH1,RBBP7,pp,14,3.7416573867739413
CLOCK,SIRT1,pp,8,2.8284271247461903
MBD4,UHRF1,pp,6,2.449489742783178
ATM,MTA3,pp,23,4.795831523312719
HDAC2,SMARCB1,pp,78,8.831760866327848
HDAC2,SUV39H1,pp,78,8.831760866327848
DMAP1,KAT5,pp,18,4.242640687119285
MEN1,RNF20,pp,19,4.358898943540674
HDAC2,MBD2,pp,78,8.831760866327848
EHMT2,SIRT6,pp,35,5.916079783099616
EZH2,NCOR1,pp,105,10.246950765959598
PCGF6,WDR5,pp,18,4.242640687119285
BAZ1A,EZH2,pp,13,3.605551275463989
KDM4A,PBRM1,pp,9,3.0
DMAP1,EPC1,pp,18,4.242640687119285
HDAC2,PRDM1,pp,78,8.831760866327848
NCOA1,NCOR1,pp,16,4.0
CBX6,PCGF6,pp,16,4.0
CBX1,SUV39H1,pp,28,5.291502622129181
CBX7,PCGF5,pp,14,3.7416573867739413
DNMT3A,EED,pp,19,4.358898943540674
BRD8,DMAP1,pp,7,2.6457513110645907
PHF20,RBBP5,pp,4,2.0
KDM1A,MBD4,pp,49,7.0
BRPF1,KAT6A,pp,6,2.449489742783178
ATAD2,HDAC11,pp,4,2.0
HDAC2,RNF2,pp,78,8.831760866327848
RBBP7,SUZ12,pp,53,7.280109889280518
ACTL6A,EP400,pp,33,5.744562646538029
EHMT2,KAT2B,pp,35,5.916079783099616
CBX5,UBE2B,pp,39,6.244997998398398
CHD8,SUZ12,pp,8,2.8284271247461903
BAZ2A,SMARCA5,pp,8,2.8284271247461903
CBX4,PHC1,pp,26,5.0990195135927845
CREBBP,RBBP5,pp,38,6.164414002968976
EZH2,PBRM1,pp,105,10.246950765959598
BRCA1,HDAC1,pp,56,7.483314773547883
CBX7,PCGF2,pp,14,3.7416573867739413
HDAC9,NCOR1,pp,11,3.3166247903554
EED,EPC2,pp,87,9.327379053088816
DNMT3B,RBBP7,pp,33,5.744562646538029
RNF20,SIRT6,pp,9,3.0
EPC2,RNF2,pp,9,3.0
CHD1L,TRIM33,pp,10,3.1622776601683795
EP300,PAXIP1,pp,58,7.615773105863909
RBBP7,TET2,pp,53,7.280109889280518
CBX1,RNF2,pp,28,5.291502622129181
ASH2L,PHF8,pp,27,5.196152422706632
HIRA,UBE2I,pp,8,2.8284271247461903
PAXIP1,RBBP7,pp,16,4.0
EPC2,KAT7,pp,9,3.0
ATR,BRCA1,pp,9,3.0
EZH2,ZMYND11,pp,105,10.246950765959598
ASH1L,MORF4L1,pp,1,1.0
CBX7,EED,pp,14,3.7416573867739413
HDAC2,SIRT1,pp,78,8.831760866327848
PBRM1,PHIP,pp,24,4.898979485566356
NCOR1,RBBP4,pp,34,5.830951894845301
HDAC2,SIN3A,pp,78,8.831760866327848
PAXIP1,SUZ12,pp,16,4.0
EED,GTF3C4,pp,87,9.327379053088816
HDAC7,UBE2I,pp,11,3.3166247903554
DNMT1,HDAC2,pp,40,6.324555320336759
HDAC2,KDM1A,pp,78,8.831760866327848
CBX7,PCGF6,pp,14,3.7416573867739413
ASH2L,PRMT1,pp,27,5.196152422706632
ATAD2,SIRT7,pp,4,2.0
HDAC2,PRDM4,pp,78,8.831760866327848
EHMT2,MTA1,pp,35,5.916079783099616
PCGF1,PHC2,pp,20,4.47213595499958
HDAC2,KMT2A,pp,78,8.831760866327848
CHD1L,HLTF,pp,10,3.1622776601683795
BMI1,PCGF6,pp,57,7.54983443527075
KDM5C,NCOR1,pp,13,3.605551275463989
KMT2A,RBBP7,pp,40,6.324555320336759
RBBP7,SMARCA5,pp,53,7.280109889280518
DNMT3B,HDAC2,pp,33,5.744562646538029
SATB1,SIRT1,pp,12,3.4641016151377544
CARM1,SMARCD1,pp,24,4.898979485566356
EHMT2,SUV39H2,pp,35,5.916079783099616
HDAC2,SIRT7,pp,78,8.831760866327848
BRD1,CHD5,pp,8,2.8284271247461903
MTF2,RBBP7,pp,15,3.872983346207417
BRCA1,EED,pp,56,7.483314773547883
EHMT2,L3MBTL2,pp,35,5.916079783099616
BRD8,ING3,pp,7,2.6457513110645907
ERCC5,GTF2H1,pp,2,1.4142135623730951
BRD1,KAT7,pp,8,2.8284271247461903
KAT5,MORF4L1,pp,30,5.477225575051661
ATM,BRCA1,pp,23,4.795831523312719
HDAC2,MEN1,pp,78,8.831760866327848
KDM5A,RBBP7,pp,11,3.3166247903554
CBX4,MBD1,pp,26,5.0990195135927845
BRD8,EP400,pp,7,2.6457513110645907
BRCA1,CBX3,pp,56,7.483314773547883
CHD5,RBBP4,pp,13,3.605551275463989
H2AFZ,MORF4L1,pp,12,3.4641016151377544
CBX7,HDAC2,pp,14,3.7416573867739413
EP400,H2AFZ,pp,23,4.795831523312719
ING5,SMARCE1,pp,10,3.1622776601683795
MTA1,RBBP7,pp,30,5.477225575051661
BRD2,CARM1,pp,10,3.1622776601683795
EZH1,PHF1,pp,14,3.7416573867739413
HDAC3,NCOR1,pp,31,5.5677643628300215
JARID2,MTF2,pp,13,3.605551275463989
ATAD2B,SIRT7,pp,1,1.0
BRD3,H2AFZ,pp,6,2.449489742783178
BRCA1,FBXO44,pp,56,7.483314773547883
CBX5,DNMT3A,pp,39,6.244997998398398
