gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
HDAC1,KMT2E,pp,91,9.539392014169456
UBE2E1,UBE2I,pp,13,3.605551275463989
AFF1,HDAC1,pp,8,2.8284271247461903
KDM5B,KMT2A,pp,23,4.795831523312719
RNF2,SMARCA4,pp,74,8.602325267042627
MECOM,SIRT1,pp,12,3.4641016151377544
HDAC1,HELLS,pp,91,9.539392014169456
SIN3B,SMARCA4,pp,15,3.872983346207417
GTF2F1,PHF19,pp,10,3.1622776601683795
HDAC2,TET2,pp,78,8.831760866327848
EP300,ING5,pp,58,7.615773105863909
EHMT1,L3MBTL1,pp,17,4.123105625617661
BRD9,WDR5,pp,9,3.0
SMARCA4,SMARCB1,pp,60,7.745966692414834
ASH2L,CHD8,pp,27,5.196152422706632
BRCA1,UBE2I,pp,56,7.483314773547883
BRCA1,ERCC5,pp,56,7.483314773547883
ARID1A,SMARCD1,pp,26,5.0990195135927845
EPC2,MORF4L1,pp,9,3.0
EZH2,SMARCC1,pp,105,10.246950765959598
RBBP5,SMARCD1,pp,29,5.385164807134504
PCGF2,PHC1,pp,15,3.872983346207417
CREBBP,MECOM,pp,38,6.164414002968976
HDAC4,UBE2I,pp,17,4.123105625617661
HDAC3,SMARCD1,pp,31,5.5677643628300215
PBRM1,SMARCA2,pp,24,4.898979485566356
CHD7,SMARCC2,pp,18,4.242640687119285
HDAC1,PRDM4,pp,91,9.539392014169456
KDM5B,RBBP7,pp,23,4.795831523312719
DNMT3L,HDAC1,pp,7,2.6457513110645907
CHAF1A,SMARCD1,pp,29,5.385164807134504
CHD3,CHD5,pp,51,7.14142842854285
HDAC2,TET1,pp,78,8.831760866327848
GTF2F1,TAF1,pp,10,3.1622776601683795
EZH2,HDAC8,pp,105,10.246950765959598
L3MBTL1,SETD7,pp,9,3.0
HDAC10,TRIM28,pp,5,2.23606797749979
BRDT,SMARCE1,pp,2,1.4142135623730951
KDM4A,NCOR1,pp,9,3.0
PBRM1,SUZ12,pp,24,4.898979485566356
BRD3,BRD4,pp,6,2.449489742783178
CHD7,SMARCA4,pp,18,4.242640687119285
BAZ1B,SMARCA4,pp,15,3.872983346207417
HDAC1,PCGF6,pp,91,9.539392014169456
KDM6B,SMARCC1,pp,16,4.0
HDAC1,KDM5B,pp,91,9.539392014169456
KDM4C,SMARCA4,pp,10,3.1622776601683795
EP400,KDM1A,pp,23,4.795831523312719
EED,PCGF2,pp,87,9.327379053088816
SMARCB1,SMARCD1,pp,39,6.244997998398398
KAT6B,UBE2I,pp,2,1.4142135623730951
EED,SMARCA1,pp,87,9.327379053088816
HDAC2,SMYD1,pp,78,8.831760866327848
BRCA1,HDAC2,pp,56,7.483314773547883
ELP3,PCGF1,pp,12,3.4641016151377544
BRPF1,ING4,pp,6,2.449489742783178
HDAC1,MECP2,pp,91,9.539392014169456
NAP1L1,SSRP1,pp,9,3.0
BMI1,PCGF2,pp,57,7.54983443527075
SMARCA4,SMARCD3,pp,60,7.745966692414834
GADD45A,ING4,pp,6,2.449489742783178
PBRM1,SMARCC1,pp,24,4.898979485566356
