Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Satb1.3,4725.585523,4011.357037,14.85634198,227.9552716,43.86825508,29.24270545,95.56744768
B06,Setd7.2,4432.879028,3681.681048,19.94401679,253.3687943,39.46815955,26.73988837,71.78940112
B09,Smarcd2.3,3086.466739,1077.01682,17.23095526,143.0795848,69.89117291,32.87310046,226.271036
B10,Setd3.1,3778.431408,3848.793291,24.31597529,256.6251416,38.96734334,32.47839811,81.96518555
C03,Smarca2.3,5707.537657,3758.043645,19.40840685,258.310992,38.71302543,17.66602441,74.36909214
C04,Scmh1.1,4155.649944,3213.752201,17.99485861,210.6498195,47.47215081,25.86334372,64.93789617
C08,Sirt2,2132.043213,1,0,100,100,1,235.9098358
C11,Ube2a.1,4677.209467,3899.570882,19.26851026,245.8333333,40.6779661,21.51450217,89.13685564
D02,Setd3.2,4832.926667,3935.125946,27.17791411,213.6304063,46.80981595,30.68015504,75.20769326
D05,Smarcc1.2,4094.058345,4068.395411,20.85048011,262.2302158,38.13443073,24.97025292,132.1393963
D06,Smarcb1.1,2610.262482,4475.02478,40,200,50,31.53533298,70.26535894
D09,Smyd1.1,4113.829476,4040.402943,19.9553239,203.1770045,49.21816828,35.7120155,75.51574401
D10,Scmh1.2,5936.904987,4616.425411,21.93690389,270.4365079,36.97725605,24.63431187,97.95988684
E02,Ube2a.2,6459.027186,4575.682289,40,250,40,8.383869119,31.66257728
E04,Scmh1.3,5361.114558,4287.377472,20.40245947,262.3167155,38.12185579,23.21647107,98.60713914
E07,Smarcc1.3,1362.792585,4083.943937,0,NaN,0,85.26845423,120.2301986
E08,Setd3.3,4091.856047,3920.566046,23.83838384,261.9047619,38.18181818,28.23665888,66.02953611
E11,Smyd1.2,5938.672955,4158.292038,20.82191781,252.0718232,39.67123288,22.11258528,82.95685908
F02,Smarca2.1,5103.852545,3313.831563,20.18111255,221.1731044,45.21345408,25.20999091,67.91481249
F05,Smarcd2.1,3999.291125,2656.146373,4.87804878,341.6666667,29.26829268,30.61022858,137.6679411
F06,Smarcb1.2,3359.942468,3108.768967,24.06471183,232.1596244,43.07381193,30.03853505,83.26509385
F10,Smarcc1.1,3930.910307,3539.531676,16.73024523,319.6864111,31.28065395,25.88141226,111.1919733
G04,Setd7.1,4449.412302,3969.408006,20.48149479,290.198123,34.45921667,29.00980054,85.59746582
G07,Smarcd2.2,3696.579943,4036.141286,21.2345679,185.1005484,54.02469136,32.04926148,108.8137971
G08,Smarca2.2,4973.896897,3888.588028,24.40528634,288.071066,34.71365639,27.06251537,70.47927826
G10,Smyd1.3,3882.211222,3655.536367,23.49639134,248.4063745,40.25661588,28.97554412,59.73745211
