Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Satb1.3,8433.842496,2462.464345,22.33956133,12.1039805,11.70072199,116.279923
B06,Setd7.2,9830.378074,2325.475836,26.83142101,17.91703442,10.31694808,91.82864737
B09,Smarcd2.3,4905.06433,1872.408168,30.05810882,22.45113576,15.725208,149.9476844
B10,Setd3.1,6788.308709,2292.079238,31.34715026,13.47150259,15.61746346,89.06840398
C03,Smarca2.3,12163.1786,1810.832712,23.63636364,12.03463203,7.576842841,97.19600724
C04,Scmh1.1,8571.033297,2169.444391,25.90799031,14.40677966,11.6166548,89.45844558
C08,Sirt2,14771.30122,5198.387744,46.15384615,38.46153846,20.82426026,126.9677946
C11,Ube2a.1,10663.32655,2264.661156,24.55418381,10.56241427,8.340298578,101.2320288
D02,Setd3.2,9545.122466,2404.080157,36.57844991,17.48582231,10.79682228,96.64125415
D05,Smarcc1.2,8061.196568,3029.672785,24.20986094,13.59039191,12.28847411,141.4743386
D06,Smarcb1.1,12047.0015,4507.274982,50,20.83333333,6.634491285,277.5248446
D09,Smyd1.1,9028.848173,2449.292106,25.9047619,14.47619048,10.85592848,100.9240134
D10,Scmh1.2,12323.89299,3093.04384,33.96880416,12.39168111,8.23906359,128.8856449
E02,Ube2a.2,18575.05192,4001.373296,57.14285714,0,2.251747796,287.4638715
E04,Scmh1.3,10928.3668,2669.834886,28.85245902,12.72131148,9.197625091,120.9486062
E07,Smarcc1.3,13212.05424,5571.019668,66.66666667,20.83333333,35.29357111,278.6248874
E08,Setd3.3,9192.86869,2315.499091,31.83890578,13.14589666,11.76874298,77.12187682
E11,Smyd1.2,12300.70615,2156.656834,24.37246964,11.25506073,8.282233819,84.2206878
F02,Smarca2.1,11535.23021,1871.268808,25.84795322,16.60818713,9.609917384,88.66774874
F05,Smarcd2.1,7632.767816,4716.81689,41.2371134,20.6185567,15.76035849,220.1335394
F06,Smarcb1.2,7017.011397,1719.072417,31.3549832,11.64613662,15.60076282,112.1282191
F10,Smarcc1.1,8157.485709,2415.970172,23.87387387,11.65540541,13.58254836,142.4536
G04,Setd7.1,9867.332379,2142.073606,27.1450858,14.0925637,13.1986675,109.4462874
G07,Smarcd2.2,9376.66112,2780.588974,31.46496815,17.38853503,13.29801853,115.170034
G08,Smarca2.2,10604.98093,2280.165605,29.5114656,13.06081755,12.2162654,93.01449779
G10,Smyd1.3,8714.971593,1686.832638,28.23433686,16.02929211,11.10191633,70.19006088
